# Date: 20170926
# RBS Modification: sd0
# Shock Rate: None
# Purpose: Process intensity data from 20170926
# This experiment was conducted by shocking E. coli cells in which all seven
# mechanosensitive channel genes were removed from the chromosome. A single
# copy of mscL was introduced into the chromosome with the RBS modification
# sd0.
area,intensity,date,rbs,mean_bg,exposure_ms
5.888,160387.64671717,20170926,sd0,106461.33626605647,25
16.256,229767.59221833723,20170926,sd0,106461.33626605647,25
3.7376,226984.18076247143,20170926,sd0,106461.33626605647,25
9.2672,203154.59840282428,20170926,sd0,106461.33626605647,25
4.7104,152635.92182357542,20170926,sd0,106461.33626605647,25
4.8384,183281.96126725894,20170926,sd0,106461.33626605647,25
23.3216,170779.25727855397,20170926,sd0,106461.33626605647,25
5.376,199814.90433799787,20170926,sd0,113504.8239680432,25
21.504,202736.42503872295,20170926,sd0,113504.8239680432,25
14.489600000000001,191882.69539730425,20170926,sd0,113504.8239680432,25
4.7104,176715.68272037094,20170926,sd0,113504.8239680432,25
5.2224,180007.05030452803,20170926,sd0,113504.8239680432,25
5.043200000000001,167363.35871234233,20170926,sd0,113504.8239680432,25
13.4144,203061.18030684977,20170926,sd0,113504.8239680432,25
4.9152000000000005,166775.68200513997,20170926,sd0,113504.8239680432,25
4.0192000000000005,222669.02975036306,20170926,sd0,117337.71944532986,25
5.5552,126026.56494896843,20170926,sd0,117337.71944532986,25
7.091200000000001,190031.87401244816,20170926,sd0,117337.71944532986,25
6.5792,188366.48627074965,20170926,sd0,117337.71944532986,25
6.912,197432.38797250376,20170926,sd0,117337.71944532986,25
7.7824,176095.0121559846,20170926,sd0,117337.71944532986,25
10.393600000000001,173155.01528548606,20170926,sd0,117337.71944532986,25
23.628800000000002,184540.2868743273,20170926,sd0,119929.74643853703,25
3.9936000000000003,141093.80442447294,20170926,sd0,119929.74643853703,25
7.7568,185631.39208146842,20170926,sd0,119929.74643853703,25
5.4528,193387.2139614943,20170926,sd0,119929.74643853703,25
5.4272,186619.77525907275,20170926,sd0,119929.74643853703,25
7.372800000000001,232682.9743532407,20170926,sd0,119929.74643853703,25
7.091200000000001,176622.7738439723,20170926,sd0,119929.74643853703,25
9.216000000000001,197022.2249468133,20170926,sd0,119929.74643853703,25
5.7344,181597.03450270125,20170926,sd0,119929.74643853703,25
7.4496,168701.7619952542,20170926,sd0,119929.74643853703,25
5.248,171575.8364689668,20170926,sd0,117504.51226540304,25
5.0688,209429.7185261729,20170926,sd0,117504.51226540304,25
4.352,229149.27459743893,20170926,sd0,117504.51226540304,25
10.7264,185584.92177411623,20170926,sd0,117504.51226540304,25
11.8528,198904.8775369308,20170926,sd0,117504.51226540304,25
4.6848,180260.58354893143,20170926,sd0,117504.51226540304,25
9.472000000000001,189938.69840397147,20170926,sd0,111691.63257107415,25
8.704,176446.28793607416,20170926,sd0,111691.63257107415,25
4.9152000000000005,163805.40579878195,20170926,sd0,111691.63257107415,25
2.8672,157178.69772591357,20170926,sd0,111691.63257107415,25
10.214400000000001,207910.6665763549,20170926,sd0,111691.63257107415,25
9.3952,157788.00864910535,20170926,sd0,117997.58116197043,25
9.1136,214235.52213109,20170926,sd0,117997.58116197043,25
7.654400000000001,207466.8069369123,20170926,sd0,117997.58116197043,25
7.1168000000000005,192152.67298514518,20170926,sd0,117997.58116197043,25
5.632000000000001,159153.79929560338,20170926,sd0,117997.58116197043,25
10.1888,180454.0919470318,20170926,sd0,117997.58116197043,25
4.6848,175794.45531408818,20170926,sd0,111206.47044997309,25
4.992,167469.99479858176,20170926,sd0,111206.47044997309,25
4.5312,196274.43104114686,20170926,sd0,111206.47044997309,25
4.454400000000001,213038.7870147847,20170926,sd0,111206.47044997309,25
7.6032,179546.5829155128,20170926,sd0,111206.47044997309,25
7.296,195420.78050526764,20170926,sd0,111206.47044997309,25
8.32,171778.11659279608,20170926,sd0,111206.47044997309,25
5.478400000000001,193936.4613709343,20170926,sd0,116057.74349220263,25
9.1392,186509.34046587316,20170926,sd0,116057.74349220263,25
8.9856,190950.31873961253,20170926,sd0,116057.74349220263,25
11.443200000000001,202251.51005265562,20170926,sd0,116057.74349220263,25
