# Date: 20170525
# RBS Modification: sd1
# Shock Rate: 0.01Hz
# Purpose: Process shock data from 20170525
# This experiment was conducted by shocking E. coli cells in which all seven
# mechanosensitive channel genes were removed from the chromosome. A single
# copy of mscL was introduced into the chromosome with the RBS modification
# sd1. These cells were hypo-osmotically shocked by flowing LB broth
# lacking sodium chloride at a rate of 0.01Hz monitored by the presence of
# and osmo-sensitive dye. Cells were manually marked for survivorship.
# Survivors were defined as those cells which were able to undergo two division
# events after the shock had taken place.
survival,intensity,area,flow_rate,date,rbs,mean_bg,exposure_ms
True,217327.19920344945,5.6576,0.01,20170525,sd1,103629.09681321353,25
True,207743.08107987215,5.7344,0.01,20170525,sd1,103629.09681321353,25
True,207743.08107987215,5.7344,0.01,20170525,sd1,103629.09681321353,25
True,207743.08107987215,5.7344,0.01,20170525,sd1,103629.09681321353,25
True,168015.51051565658,4.5824,0.01,20170525,sd1,103629.09681321353,25
True,184980.69282285197,9.088000000000001,0.01,20170525,sd1,103629.09681321353,25
True,184980.69282285197,9.088000000000001,0.01,20170525,sd1,103629.09681321353,25
False,189791.31929135218,7.7056000000000004,0.01,20170525,sd1,105947.1422575858,25
False,189791.31929135218,7.7056000000000004,0.01,20170525,sd1,105947.1422575858,25
False,189791.31929135218,7.7056000000000004,0.01,20170525,sd1,105947.1422575858,25
True,201875.22177895124,11.7504,0.01,20170525,sd1,101862.17145171015,25
False,215882.33600040484,6.016,0.01,20170525,sd1,101587.86011286693,25
False,189832.38173795628,4.9152000000000005,0.01,20170525,sd1,101587.86011286693,25
False,167801.58787039923,6.7328,0.01,20170525,sd1,101587.86011286693,25
False,160239.10892592472,5.8624,0.01,20170525,sd1,101587.86011286693,25
False,172770.77292458987,6.1184,0.01,20170525,sd1,104075.19434060594,25
True,184165.65507652107,7.219200000000001,0.01,20170525,sd1,104075.19434060594,25
False,154935.85986943534,4.1984,0.01,20170525,sd1,93596.08127500104,25
False,163439.92960683213,3.8656,0.01,20170525,sd1,93596.08127500104,25
True,154935.85986943534,4.1984,0.01,20170525,sd1,93596.08127500104,25
True,154935.85986943534,4.1984,0.01,20170525,sd1,93596.08127500104,25
True,151924.8149787135,6.4512,0.01,20170525,sd1,93596.08127500104,25
False,157552.23732946135,3.8656,0.01,20170525,sd1,104836.12443564102,25
False,182757.93816977617,18.9696,0.01,20170525,sd1,100576.69353786306,25
True,182757.93816977617,18.9696,0.01,20170525,sd1,100576.69353786306,25
True,219928.2587840597,4.3264000000000005,0.01,20170525,sd1,100576.69353786306,25
True,219928.2587840597,4.3264000000000005,0.01,20170525,sd1,100576.69353786306,25
True,209609.03050031074,14.003200000000001,0.01,20170525,sd1,100576.69353786306,25
False,197512.06538998647,6.4768,0.01,20170525,sd1,97594.53154679305,25
False,177652.45643825445,6.6048,0.01,20170525,sd1,97594.53154679305,25
True,197512.06538998647,6.4768,0.01,20170525,sd1,97594.53154679305,25
False,167879.20906380855,5.248,0.01,20170525,sd1,100239.81767667088,25
False,186444.5469349031,12.5952,0.01,20170525,sd1,100546.28576158133,25
True,168043.1974249113,6.7584,0.01,20170525,sd1,100546.28576158133,25
False,194398.07140036556,6.5792,0.01,20170525,sd1,102667.32174965866,25
False,194398.07140036556,6.5792,0.01,20170525,sd1,102667.32174965866,25
False,194398.07140036556,6.5792,0.01,20170525,sd1,102667.32174965866,25
False,194398.07140036556,6.5792,0.01,20170525,sd1,102667.32174965866,25
True,175155.35070712725,5.6064,0.01,20170525,sd1,102667.32174965866,25
True,183774.72889784683,18.3296,0.01,20170525,sd1,91015.5427884532,25
True,185499.68074098503,4.6080000000000005,0.01,20170525,sd1,91015.5427884532,25
True,151223.41294065386,5.7088,0.01,20170525,sd1,91015.5427884532,25
False,200119.9550208586,10.6752,0.01,20170525,sd1,106504.45398462783,25
False,213437.09424512656,7.424,0.01,20170525,sd1,106504.45398462783,25
True,213437.09424512656,7.424,0.01,20170525,sd1,106504.45398462783,25
False,184470.3294275133,5.478400000000001,0.01,20170525,sd1,101078.35109942852,25
False,173635.1836884342,6.1184,0.01,20170525,sd1,101078.35109942852,25
False,173635.1836884342,6.1184,0.01,20170525,sd1,101078.35109942852,25
False,173635.1836884342,6.1184,0.01,20170525,sd1,101078.35109942852,25
False,186835.8607470199,6.5536,0.01,20170525,sd1,101078.35109942852,25
True,181330.21329838733,6.4256,0.01,20170525,sd1,101078.35109942852,25
True,177794.58260669728,8.064,0.01,20170525,sd1,101078.35109942852,25
True,186835.8607470199,6.5536,0.01,20170525,sd1,101078.35109942852,25
True,186835.8607470199,6.5536,0.01,20170525,sd1,101078.35109942852,25
False,165088.20869650051,6.1184,0.01,20170525,sd1,99591.7656089408,25
False,165088.20869650051,6.1184,0.01,20170525,sd1,99591.7656089408,25
False,161040.69707517733,6.8608,0.01,20170525,sd1,99493.7785341718,25
False,182181.76841455107,5.0688,0.01,20170525,sd1,99493.7785341718,25
False,182181.76841455107,5.0688,0.01,20170525,sd1,99493.7785341718,25
False,146251.6292189694,5.8112,0.01,20170525,sd1,91868.04636157202,25
False,188250.98995124924,5.888,0.01,20170525,sd1,91868.04636157202,25
True,158507.4926251178,5.3504000000000005,0.01,20170525,sd1,91868.04636157202,25
True,188250.98995124924,5.888,0.01,20170525,sd1,91868.04636157202,25
True,188250.98995124924,5.888,0.01,20170525,sd1,91868.04636157202,25
