# Date: 20171018
# RBS Modification: sd0
# Shock Rate: None
# Purpose: Process intensity data from 20171018
# This experiment was conducted by shocking E. coli cells in which all seven
# mechanosensitive channel genes were removed from the chromosome. A single
# copy of mscL was introduced into the chromosome with the RBS modification
# sd0.
area,intensity,date,rbs,mean_bg,exposure_ms,replicate_number
5.632000000000001,197558.93843269776,20171018,sd0,101568.75864800165,25,6
4.9664,212442.68657434732,20171018,sd0,101568.75864800165,25,6
6.9888,187523.46921029183,20171018,sd0,101568.75864800165,25,6
5.4016,201398.2571808293,20171018,sd0,101568.75864800165,25,6
5.478400000000001,182174.66004818722,20171018,sd0,101568.75864800165,25,6
7.7824,182260.2742575205,20171018,sd0,104926.71729462099,25,6
9.523200000000001,186761.71334156903,20171018,sd0,104926.71729462099,25,6
6.1696,197933.52602102066,20171018,sd0,104926.71729462099,25,6
6.7072,263464.8229672565,20171018,sd0,104926.71729462099,25,6
10.0608,215804.37901496806,20171018,sd0,104926.71729462099,25,6
5.9904,156619.20648508193,20171018,sd0,104926.71729462099,25,6
11.4944,191909.41119391378,20171018,sd0,104926.71729462099,25,6
9.1904,197752.12114004005,20171018,sd0,104926.71729462099,25,6
10.393600000000001,205003.25414975634,20171018,sd0,101588.663113671,25,6
7.808000000000001,196618.36698968773,20171018,sd0,101588.663113671,25,6
11.9808,214908.75061111685,20171018,sd0,101588.663113671,25,6
21.1968,177254.60042037064,20171018,sd0,101588.663113671,25,6
6.4,177868.76532545648,20171018,sd0,101588.663113671,25,6
11.5456,165479.4192335406,20171018,sd0,101588.663113671,25,6
5.632000000000001,200390.17450618956,20171018,sd0,101588.663113671,25,6
6.937600000000001,219925.91138847315,20171018,sd0,101588.663113671,25,6
11.3408,258346.08048026715,20171018,sd0,101588.663113671,25,6
5.6064,208889.4252673627,20171018,sd0,101588.663113671,25,6
6.4256,194282.72827466365,20171018,sd0,101588.663113671,25,6
23.7312,203328.40470543833,20171018,sd0,105339.8098999359,25,6
4.8128,160974.48135027598,20171018,sd0,105339.8098999359,25,6
5.2736,166999.18908815144,20171018,sd0,105339.8098999359,25,6
5.6064,202358.42258864615,20171018,sd0,105339.8098999359,25,6
15.232000000000001,200154.16651654567,20171018,sd0,105339.8098999359,25,6
5.888,211929.5412539853,20171018,sd0,105339.8098999359,25,6
10.4704,179003.38580983563,20171018,sd0,105339.8098999359,25,6
8.473600000000001,191093.62212676895,20171018,sd0,105339.8098999359,25,6
9.1392,180854.10353893344,20171018,sd0,105339.8098999359,25,6
6.8352,193290.9282258612,20171018,sd0,103242.87950835061,25,6
5.2736,191882.87540199122,20171018,sd0,103242.87950835061,25,6
3.6352,191925.48189930333,20171018,sd0,103242.87950835061,25,6
11.0336,247484.73685249343,20171018,sd0,103242.87950835061,25,6
5.043200000000001,199709.16382974133,20171018,sd0,103242.87950835061,25,6
10.9056,187595.37333587298,20171018,sd0,103242.87950835061,25,6
4.6848,203939.51048677156,20171018,sd0,103242.87950835061,25,6
5.913600000000001,197380.47793323122,20171018,sd0,103242.87950835061,25,6
6.067200000000001,217360.78804917706,20171018,sd0,103242.87950835061,25,6
6.3744000000000005,178137.84150177005,20171018,sd0,103242.87950835061,25,6
4.1984,203927.6695773145,20171018,sd0,103242.87950835061,25,6
4.454400000000001,138394.93199844565,20171018,sd0,103242.87950835061,25,6
6.195200000000001,177741.203266519,20171018,sd0,103242.87950835061,25,6
7.1168000000000005,196652.6311340444,20171018,sd0,103242.87950835061,25,6
8.2688,148960.62056524542,20171018,sd0,103242.87950835061,25,6
13.5424,181473.16745644526,20171018,sd0,100549.87672376688,25,6
27.2896,256357.21055755037,20171018,sd0,100549.87672376688,25,6
19.712,156562.64821487071,20171018,sd0,100549.87672376688,25,6
7.7056000000000004,180752.60022732476,20171018,sd0,100549.87672376688,25,6
4.7104,186720.7510366054,20171018,sd0,100549.87672376688,25,6
8.7552,216771.78155991423,20171018,sd0,100549.87672376688,25,6
6.656000000000001,200799.56127381313,20171018,sd0,100549.87672376688,25,6
5.043200000000001,174226.44429428162,20171018,sd0,100549.87672376688,25,6
6.5792,181032.28780843894,20171018,sd0,100549.87672376688,25,6
15.923200000000001,162224.07138741013,20171018,sd0,100549.87672376688,25,6
7.296,191309.47719004008,20171018,sd0,100549.87672376688,25,6
6.7072,168476.3610896232,20171018,sd0,100549.87672376688,25,6
7.9104,211579.10347471244,20171018,sd0,102212.14314505404,25,6
7.04,158873.4288489253,20171018,sd0,102212.14314505404,25,6
5.0688,153515.39091266604,20171018,sd0,102212.14314505404,25,6
10.624,214210.6087053682,20171018,sd0,102212.14314505404,25,6
17.203200000000002,173589.61721267697,20171018,sd0,102212.14314505404,25,6
8.3968,205869.03076577926,20171018,sd0,102212.14314505404,25,6
5.478400000000001,175732.52444572965,20171018,sd0,102212.14314505404,25,6
10.4704,183668.38778950062,20171018,sd0,101181.8851533238,25,6
5.913600000000001,186500.59999724824,20171018,sd0,101181.8851533238,25,6
7.833600000000001,180904.47234820374,20171018,sd0,101181.8851533238,25,6
5.0944,192571.86346121566,20171018,sd0,101181.8851533238,25,6
4.9408,172359.47599061087,20171018,sd0,101181.8851533238,25,6
12.9536,218005.06364071404,20171018,sd0,101181.8851533238,25,6
13.5424,178731.40192570185,20171018,sd0,101181.8851533238,25,6
14.8224,195145.4273587714,20171018,sd0,101181.8851533238,25,6
8.5248,174408.77111825458,20171018,sd0,101181.8851533238,25,6
6.4256,202351.88884172813,20171018,sd0,101181.8851533238,25,6
6.2976,154118.9235003706,20171018,sd0,101181.8851533238,25,6
