# Date: 20171024
# RBS Modification: sd0
# Shock Rate: None
# Purpose: Process intensity data from 20171018
# This experiment was conducted by shocking E. coli cells in which all seven
# mechanosensitive channel genes were removed from the chromosome. A single
# copy of mscL was introduced into the chromosome with the RBS modification
# sd0.
area,intensity,date,rbs,mean_bg,exposure_ms,replicate_number
5.5040000000000004,140849.95410274065,20171024,sd0,93964.18888696663,25,7
5.478400000000001,173186.66102381857,20171024,sd0,93964.18888696663,25,7
5.478400000000001,142021.41922165678,20171024,sd0,93964.18888696663,25,7
6.016,172773.4730899614,20171024,sd0,93964.18888696663,25,7
9.0624,169406.17450329356,20171024,sd0,93964.18888696663,25,7
6.2464,168992.15514832493,20171024,sd0,93964.18888696663,25,7
6.2464,149892.10848904777,20171024,sd0,93964.18888696663,25,7
4.9152000000000005,180552.7843927324,20171024,sd0,95071.74244521037,25,7
4.48,216338.08601250823,20171024,sd0,95071.74244521037,25,7
5.9392000000000005,172005.26256827067,20171024,sd0,95071.74244521037,25,7
8.4224,161126.12830413226,20171024,sd0,95071.74244521037,25,7
11.008000000000001,189444.78751537114,20171024,sd0,95071.74244521037,25,7
5.248,205379.28378372986,20171024,sd0,95071.74244521037,25,7
10.112,186357.0248886172,20171024,sd0,95071.74244521037,25,7
5.4016,174071.92477455913,20171024,sd0,95071.74244521037,25,7
16.3072,184384.908430345,20171024,sd0,94776.8186052492,25,7
24.652800000000003,194945.95323954782,20171024,sd0,94776.8186052492,25,7
5.3504000000000005,140665.378900626,20171024,sd0,94776.8186052492,25,7
9.728,196290.70471709067,20171024,sd0,94776.8186052492,25,7
4.7616000000000005,160628.25494990702,20171024,sd0,94776.8186052492,25,7
12.9024,194518.49482171456,20171024,sd0,94776.8186052492,25,7
4.5568,155613.38504073277,20171024,sd0,92043.19054629632,25,7
6.2464,157777.14395899166,20171024,sd0,92043.19054629632,25,7
7.961600000000001,171076.60169160296,20171024,sd0,92043.19054629632,25,7
26.009600000000002,180739.08343065504,20171024,sd0,92043.19054629632,25,7
6.656000000000001,175256.25623658282,20171024,sd0,92043.19054629632,25,7
5.2224,212531.03068394205,20171024,sd0,92043.19054629632,25,7
7.3216,165496.19720197175,20171024,sd0,92043.19054629632,25,7
5.478400000000001,154916.48274704782,20171024,sd0,92043.19054629632,25,7
4.4288,166976.44984528353,20171024,sd0,92043.19054629632,25,7
4.6592,175990.70468333678,20171024,sd0,92043.19054629632,25,7
4.7616000000000005,169758.51311332188,20171024,sd0,92043.19054629632,25,7
10.214400000000001,144705.8713887166,20171024,sd0,95045.83890917605,25,7
5.043200000000001,165544.33290661167,20171024,sd0,95045.83890917605,25,7
10.8032,154523.59286143494,20171024,sd0,95045.83890917605,25,7
5.632000000000001,201855.31054096733,20171024,sd0,95045.83890917605,25,7
7.500800000000001,169190.18118132162,20171024,sd0,95045.83890917605,25,7
6.0928,142903.76759825982,20171024,sd0,95045.83890917605,25,7
6.2464,168060.0821357042,20171024,sd0,95045.83890917605,25,7
11.5456,143822.82852427132,20171024,sd0,95045.83890917605,25,7
10.1888,188947.29395515306,20171024,sd0,95045.83890917605,25,7
7.5520000000000005,170879.66343824286,20171024,sd0,96570.67299327368,25,7
16.1024,178836.27786579166,20171024,sd0,96570.67299327368,25,7
12.544,182172.47111269215,20171024,sd0,96570.67299327368,25,7
5.8368,170965.6922742265,20171024,sd0,96570.67299327368,25,7
5.1456,162564.6492393,20171024,sd0,96570.67299327368,25,7
4.5056,161352.12479400987,20171024,sd0,96570.67299327368,25,7
4.3776,150309.28062654208,20171024,sd0,96570.67299327368,25,7
7.372800000000001,178476.41045098973,20171024,sd0,96570.67299327368,25,7
8.9344,177295.24895170168,20171024,sd0,94329.69441661086,25,7
8.704,175754.34959159128,20171024,sd0,94329.69441661086,25,7
5.1456,189979.1205983339,20171024,sd0,94329.69441661086,25,7
6.8352,167779.2540864434,20171024,sd0,94329.69441661086,25,7
4.5824,162581.7890675339,20171024,sd0,94329.69441661086,25,7
10.5984,168285.90183668927,20171024,sd0,94329.69441661086,25,7
7.424,152584.94310524932,20171024,sd0,94329.69441661086,25,7
20.787200000000002,162767.82491874945,20171024,sd0,95795.28303631132,25,7
9.088000000000001,199131.59070977892,20171024,sd0,95795.28303631132,25,7
7.219200000000001,179760.88863659938,20171024,sd0,95795.28303631132,25,7
10.88,166699.8807071097,20171024,sd0,95795.28303631132,25,7
5.760000000000001,133270.73809529812,20171024,sd0,95795.28303631132,25,7
15.052800000000001,175537.8892849224,20171024,sd0,92778.72229864825,25,7
5.5552,172546.65709071505,20171024,sd0,92778.72229864825,25,7
6.8864,142694.50822202442,20171024,sd0,92778.72229864825,25,7
5.4528,150196.78090967855,20171024,sd0,92778.72229864825,25,7
9.984,149764.49934531093,20171024,sd0,92778.72229864825,25,7
6.016,128155.20108745326,20171024,sd0,92778.72229864825,25,7
7.168,152647.61558027766,20171024,sd0,93737.09930607365,25,7
5.888,176584.89066981676,20171024,sd0,93737.09930607365,25,7
18.8416,208341.95797710388,20171024,sd0,93737.09930607365,25,7
6.3744000000000005,195499.1780479264,20171024,sd0,93737.09930607365,25,7
16.2816,187889.9041038986,20171024,sd0,93737.09930607365,25,7
4.736000000000001,158647.76060421136,20171024,sd0,93737.09930607365,25,7
5.1968000000000005,188544.612014747,20171024,sd0,93737.09930607365,25,7
10.3168,165761.37913270676,20171024,sd0,93737.09930607365,25,7
10.88,177596.23784521857,20171024,sd0,95355.10217193287,25,7
5.9648,187129.24137688783,20171024,sd0,95355.10217193287,25,7
3.7888,138223.65264208685,20171024,sd0,95355.10217193287,25,7
5.5552,132762.80184549707,20171024,sd0,95355.10217193287,25,7
7.1936,181984.52446734396,20171024,sd0,95355.10217193287,25,7
5.4528,207398.52976729977,20171024,sd0,95355.10217193287,25,7
5.913600000000001,174582.16027587888,20171024,sd0,95355.10217193287,25,7
7.2704,182517.46993624477,20171024,sd0,95355.10217193287,25,7
6.5792,190676.0566843094,20171024,sd0,95355.10217193287,25,7
4.8128,149206.8314279256,20171024,sd0,95355.10217193287,25,7
6.4768,184227.02338714106,20171024,sd0,95011.72897046215,25,7
5.6576,219126.83189060565,20171024,sd0,95011.72897046215,25,7
8.96,172306.76771110675,20171024,sd0,95011.72897046215,25,7
6.1696,177964.4412123271,20171024,sd0,95011.72897046215,25,7
8.9344,161093.06365352956,20171024,sd0,95011.72897046215,25,7
4.5312,170668.756496853,20171024,sd0,95011.72897046215,25,7
5.0944,139507.63063817486,20171024,sd0,95011.72897046215,25,7
6.5792,185507.00088855365,20171024,sd0,95011.72897046215,25,7
10.24,152516.3813687467,20171024,sd0,92773.51136376914,25,7
8.2432,186888.90830467912,20171024,sd0,92773.51136376914,25,7
6.656000000000001,171718.27035823613,20171024,sd0,92773.51136376914,25,7
15.488000000000001,174396.5693407229,20171024,sd0,92773.51136376914,25,7
6.502400000000001,179393.44455893547,20171024,sd0,92773.51136376914,25,7
9.7536,160601.7382354532,20171024,sd0,92773.51136376914,25,7
11.0592,176781.87178783573,20171024,sd0,92773.51136376914,25,7
4.7872,177252.32953060034,20171024,sd0,92773.51136376914,25,7
5.478400000000001,146056.68693399592,20171024,sd0,92773.51136376914,25,7
6.784000000000001,147400.48580757494,20171024,sd0,92773.51136376914,25,7
5.2992,145090.31169640404,20171024,sd0,94620.85455129607,25,7
6.8864,189669.68812552295,20171024,sd0,94620.85455129607,25,7
26.4704,158399.54092054113,20171024,sd0,94620.85455129607,25,7
5.6832,138253.23569562018,20171024,sd0,94620.85455129607,25,7
6.0928,149020.39637301446,20171024,sd0,94620.85455129607,25,7
5.8368,157172.74480943845,20171024,sd0,94620.85455129607,25,7
2.176,178400.00598488582,20171024,sd0,94620.85455129607,25,7
17.5872,160809.43392706764,20171024,sd0,94620.85455129607,25,7
10.342400000000001,141053.71303896807,20171024,sd0,93480.30901548613,25,7
8.0896,156093.59858743986,20171024,sd0,93480.30901548613,25,7
7.8848,178741.985455459,20171024,sd0,93480.30901548613,25,7
8.2688,169165.52321817793,20171024,sd0,93480.30901548613,25,7
8.908800000000001,154618.89436543392,20171024,sd0,93480.30901548613,25,7
11.2896,167203.27781504628,20171024,sd0,93480.30901548613,25,7
9.1904,152953.8572477041,20171024,sd0,91514.98058029503,25,7
2.3296,187811.64874284793,20171024,sd0,91514.98058029503,25,7
15.3344,164380.82224099556,20171024,sd0,91514.98058029503,25,7
7.065600000000001,178157.74908928384,20171024,sd0,91514.98058029503,25,7
6.912,187907.79954308653,20171024,sd0,91514.98058029503,25,7
5.5808,137323.18373712222,20171024,sd0,91514.98058029503,25,7
5.248,160061.29023200838,20171024,sd0,97498.45639664671,25,7
4.300800000000001,192290.1058233453,20171024,sd0,97498.45639664671,25,7
9.6256,168884.83848363892,20171024,sd0,97498.45639664671,25,7
5.4528,179872.04563475045,20171024,sd0,97498.45639664671,25,7
9.7024,181907.09957071775,20171024,sd0,97498.45639664671,25,7
3.1744000000000003,229691.2625221093,20171024,sd0,97498.45639664671,25,7
5.0688,155499.2685673131,20171024,sd0,97498.45639664671,25,7
7.7312,154411.35518352338,20171024,sd0,97498.45639664671,25,7
10.5472,184693.2395202124,20171024,sd0,97498.45639664671,25,7
8.5248,156688.4200877266,20171024,sd0,97498.45639664671,25,7
4.352,157816.68627972278,20171024,sd0,97498.45639664671,25,7
8.4992,146756.16371650473,20171024,sd0,97498.45639664671,25,7
22.3744,195791.8318373367,20171024,sd0,97498.45639664671,25,7
20.2752,184096.58585805158,20171024,sd0,97498.45639664671,25,7
2.0736,192175.47437235218,20171024,sd0,97498.45639664671,25,7
7.091200000000001,178359.16097535563,20171024,sd0,94704.43571491813,25,7
7.168,154289.04127931554,20171024,sd0,94704.43571491813,25,7
10.0608,173954.15279629992,20171024,sd0,94704.43571491813,25,7
4.7872,142065.3842533865,20171024,sd0,94704.43571491813,25,7
7.680000000000001,168145.75642886956,20171024,sd0,94704.43571491813,25,7
6.7328,174037.26474156757,20171024,sd0,94704.43571491813,25,7
6.7584,160054.4828363791,20171024,sd0,94704.43571491813,25,7
9.0112,164880.06933813478,20171024,sd0,94704.43571491813,25,7
18.5856,172954.1316510659,20171024,sd0,94704.43571491813,25,7
7.6288,213384.65854955162,20171024,sd0,94704.43571491813,25,7
4.9408,160283.46690524626,20171024,sd0,94704.43571491813,25,7
24.96,174014.76986173206,20171024,sd0,93749.82007741494,25,7
13.2352,184080.35372139502,20171024,sd0,93749.82007741494,25,7
7.0144,172328.4038313056,20171024,sd0,93749.82007741494,25,7
8.9856,182156.04887270107,20171024,sd0,93749.82007741494,25,7
6.8096000000000005,137947.84683246963,20171024,sd0,93749.82007741494,25,7
12.0576,196097.59032751402,20171024,sd0,93422.8277987097,25,7
6.502400000000001,157623.04599977098,20171024,sd0,93422.8277987097,25,7
7.833600000000001,182880.27905754733,20171024,sd0,93422.8277987097,25,7
16.0,166790.185442813,20171024,sd0,93422.8277987097,25,7
5.6064,162998.13596457496,20171024,sd0,93422.8277987097,25,7
6.144,177770.1809656912,20171024,sd0,93422.8277987097,25,7
5.9392000000000005,151481.42258080572,20171024,sd0,93422.8277987097,25,7
5.0944,190993.44772328058,20171024,sd0,93422.8277987097,25,7
10.6752,168341.50072639293,20171024,sd0,93422.8277987097,25,7
7.5776,176410.6069906503,20171024,sd0,93422.8277987097,25,7
5.888,143289.46070886526,20171024,sd0,93422.8277987097,25,7
12.134400000000001,165477.66421743654,20171024,sd0,93422.8277987097,25,7
5.6064,151213.95578864275,20171024,sd0,93422.8277987097,25,7
9.830400000000001,151056.01424599052,20171024,sd0,93422.8277987097,25,7
