date,sd,flow_rate,exposure_ms,mean_bg,survival,x_pos,y_pos,mask_label,label_cent_x,label_cent_y,intensity,area,dist,sub_int,rescaled_int
April26,10sd1,0.005Hz,25,2781.762290295285,True,215,243,6.0,221.9438202247191,249.12921348314606,277415.7303370786,4.5568,1.4819135498473106,274633.96804678335,1098535.8721871334
April26,10sd1,0.005Hz,25,2781.762290295285,True,374,180,4.0,366.59090909090907,190.5206611570248,260674.07024793388,6.195200000000001,2.0588396842810917,257892.3079576386,1031569.2318305544
April26,10sd1,0.005Hz,25,2781.762290295285,True,352,191,4.0,366.59090909090907,190.5206611570248,260674.07024793388,6.195200000000001,2.335804889526151,257892.3079576386,1031569.2318305544
April26,10sd1,0.005Hz,25,2781.762290295285,True,419,78,3.0,431.28308823529414,86.86397058823529,226657.71484375,6.9632000000000005,2.4235866640867445,223875.95255345473,895503.8102138188
April26,10sd1,0.005Hz,25,2781.762290295285,True,439,75,3.0,431.28308823529414,86.86397058823529,226657.71484375,6.9632000000000005,2.2644636998085996,223875.95255345473,895503.8102138188
April26,10sd1,0.005Hz,25,2781.762290295285,True,159,56,2.0,173.68780487804878,58.078048780487805,218733.61280487807,5.248,2.37345263510036,215951.8505145828,863807.4020583312
April26,10sd1,0.005Hz,25,2781.762290295285,True,174,48,2.0,173.68780487804878,58.078048780487805,218733.61280487807,5.248,1.6132613071697912,215951.8505145828,863807.4020583312
April26,10sd1,0.005Hz,25,2781.762290295285,True,297,8,1.0,316.9186746987952,12.650602409638553,220358.03369728915,8.4992,3.272700969526757,217576.27140699388,870305.0856279754
April26,10sd1,0.005Hz,25,2781.762290295285,True,437,388,7.0,443.27240143369175,405.7168458781362,239141.88508064515,7.1424,3.007104750244705,236360.12279034988,945440.4911613995
April26,10sd1,0.005Hz,25,2781.762290295285,True,450,453,10.0,440.957345971564,457.4739336492891,248620.038507109,5.4016,1.614222183874178,245838.27621681374,983353.104867255
April26,10sd1,0.005Hz,25,2781.762290295285,True,150,439,8.0,141.57416267942583,443.481658692185,272103.4564393939,16.0512,1.526973470353059,269321.69414909865,1077286.7765963946
April26,10sd1,0.005Hz,25,2781.762290295285,True,133,433,8.0,141.57416267942583,443.481658692185,272103.4564393939,16.0512,2.166694423672508,269321.69414909865,1077286.7765963946
April26,10sd1,0.005Hz,25,2781.762290295285,True,207,482,11.0,196.30975954738332,483.9504950495049,242927.42220650637,18.0992,1.738675702926332,240145.6599162111,960582.6396648444
April26,10sd1,0.005Hz,25,2781.762290295285,True,188,474,11.0,196.30975954738332,483.9504950495049,242927.42220650637,18.0992,2.0742348131101473,240145.6599162111,960582.6396648444
April26,10sd1,0.005Hz,25,2781.762290295285,True,156,482,9.0,167.38888888888889,464.6111111111111,110673.17708333331,4.6080000000000005,3.3258464067042657,107891.41479303803,431565.6591721521
April26,10sd1,0.005Hz,25,2765.93194503482,True,377,320,5.0,365.05321100917433,340.0220183486239,300732.94151376147,13.952,3.7304609420505903,297967.00956872664,1191868.0382749066
April26,10sd1,0.005Hz,25,2765.93194503482,True,359,336,5.0,365.05321100917433,340.0220183486239,300732.94151376147,13.952,1.1628158388271832,297967.00956872664,1191868.0382749066
April26,10sd1,0.005Hz,25,2765.93194503482,True,338,341,5.0,365.05321100917433,340.0220183486239,300732.94151376147,13.952,4.331341184303529,297967.00956872664,1191868.0382749066
April26,10sd1,0.005Hz,25,2765.93194503482,True,232,390,6.0,248.90954773869348,386.35175879396985,278440.05182160804,5.0944,2.7677801930044894,275674.1198765732,1102696.4795062928
April26,10sd1,0.005Hz,25,2765.93194503482,True,257,373,6.0,248.90954773869348,386.35175879396985,278440.05182160804,5.0944,2.4978704821370696,275674.1198765732,1102696.4795062928
April26,10sd1,0.005Hz,25,2765.93194503482,True,382,78,1.0,404.5113636363636,81.10227272727273,243643.90980113635,6.7584,3.6358590559013915,240877.97785610153,963511.9114244062
April26,10sd1,0.005Hz,25,2765.93194503482,True,415,75,1.0,404.5113636363636,81.10227272727273,243643.90980113635,6.7584,1.9415406679462741,240877.97785610153,963511.9114244062
April26,10sd1,0.005Hz,25,2765.93194503482,True,65,112,2.0,83.23684210526316,122.55263157894737,167935.34128289472,7.7824,3.3711830781285665,165169.4093378599,660677.6373514396
April26,10sd1,0.005Hz,25,2765.93194503482,True,95,127,2.0,83.23684210526316,122.55263157894737,167935.34128289472,7.7824,2.0121294242529713,165169.4093378599,660677.6373514396
April26,10sd1,0.005Hz,25,2765.93194503482,True,105,213,3.0,112.88023952095809,218.63473053892216,219544.3488023952,4.2752,1.5500058376472816,216778.41685736037,867113.6674294415
