# Date: 20170316
# RBS Modification: sd6
# Shock Rate: 1.00Hz
# Purpose: Process shock data from 20170316
# This experiment was conducted by shocking E. coli cells in which all seven
# mechanosensitive channel genes were removed from the chromosome. A single
# copy of mscL was introduced into the chromosome with the RBS modification
# sd6. These cells were hypo-osmotically shocked by flowing LB broth
# lacking sodium chloride at a rate of 1.00Hz monitored by the presence of
# and osmo-sensitive dye. Cells were manually marked for survivorship.
# Survivors were defined as those cells which were able to undergo two division
# events after the shock had taken place. Note that this dataset is a special
# case in which there are not marker files for each image. This is because
# a very large majority of the cells died. Entire fields of view died at a time
# and individual markers were not made for expediency.
area,date,exposure_ms,flow_rate,intensity,mean_bg,rbs,survival
10.0352,20170316,100,,251541.31915740407,209728.64902730592,sd6,False
13.6704,20170316,100,,254348.15137053403,209728.64902730592,sd6,False
9.6,20170316,100,,245684.2262940194,209728.64902730592,sd6,False
8.2944,20170316,100,,244692.54826153678,209728.64902730592,sd6,False
6.8608,20170316,100,,249636.61440280682,209728.64902730592,sd6,False
7.7568,20170316,100,,238615.40470683033,209728.64902730592,sd6,False
9.1904,20170316,100,,231440.2433106974,207238.52210478918,sd6,False
9.7024,20170316,100,,252892.07674960114,207238.52210478918,sd6,False
6.8096000000000005,20170316,100,,242562.0867770633,207238.52210478918,sd6,False
8.4992,20170316,100,,263879.8408504326,207238.52210478918,sd6,False
15.5136,20170316,100,,256836.32405033062,207238.52210478918,sd6,False
7.833600000000001,20170316,100,,238022.57447479886,207238.52210478918,sd6,False
7.065600000000001,20170316,100,,246402.75249330478,207238.52210478918,sd6,False
10.5728,20170316,100,,231427.99909547644,204517.08625331725,sd6,False
9.7024,20170316,100,,236933.95357290385,204517.08625331725,sd6,False
6.016,20170316,100,,242098.04815485678,204517.08625331725,sd6,False
13.5936,20170316,100,,246444.8317037924,204517.08625331725,sd6,False
7.680000000000001,20170316,100,,237297.6794874815,204517.08625331725,sd6,False
2.944,20170316,100,,284372.6101376913,204517.08625331725,sd6,False
9.5744,20170316,100,,243317.69319567448,204517.08625331725,sd6,False
15.308800000000002,20170316,100,,250018.72397143787,204517.08625331725,sd6,False
12.1856,20170316,100,,263945.0234527535,204517.08625331725,sd6,False
5.5296,20170316,100,,242700.7013234545,204517.08625331725,sd6,False
7.7824,20170316,100,,248032.5733926297,204517.08625331725,sd6,False
6.195200000000001,20170316,100,,241189.94172554306,204517.08625331725,sd6,False
6.195200000000001,20170316,100,,239420.61867669164,205527.17353954018,sd6,False
6.016,20170316,100,,247541.89273748084,205527.17353954018,sd6,False
5.7088,20170316,100,,236010.11773051062,205527.17353954018,sd6,False
11.776,20170316,100,,253322.4407664298,205527.17353954018,sd6,False
5.4016,20170316,100,,237694.77618373308,205527.17353954018,sd6,False
6.937600000000001,20170316,100,,246288.1922196018,205527.17353954018,sd6,False
12.4928,20170316,100,,260270.80223008775,205527.17353954018,sd6,False
11.443200000000001,20170316,100,,254617.070266269,205527.17353954018,sd6,False
12.3392,20170316,100,,244568.41885585873,205527.17353954018,sd6,False
6.937600000000001,20170316,100,,250269.85889905985,205527.17353954018,sd6,False
13.7216,20170316,100,,253905.4583560926,205527.17353954018,sd6,False
7.5520000000000005,20170316,100,,237795.51840555295,205527.17353954018,sd6,False
20.8128,20170316,100,,258555.18661365757,205527.17353954018,sd6,False
12.16,20170316,100,,234669.81289147428,208091.2811397512,sd6,False
7.1424,20170316,100,,236164.95381821948,208091.2811397512,sd6,False
12.416,20170316,100,,250535.89348670904,208091.2811397512,sd6,False
14.131200000000002,20170316,100,,256653.1621875638,208091.2811397512,sd6,False
6.0928,20170316,100,,250491.38660688492,208091.2811397512,sd6,False
6.016,20170316,100,,240919.88887078388,208091.2811397512,sd6,False
6.067200000000001,20170316,100,,230707.5211790881,205790.36840776473,sd6,False
8.192,20170316,100,,242096.40520446823,205790.36840776473,sd6,False
7.936,20170316,100,,258156.79405791813,205790.36840776473,sd6,False
5.632000000000001,20170316,100,,251136.77686486344,205790.36840776473,sd6,False
13.440000000000001,20170316,100,,256226.5898255481,205790.36840776473,sd6,False
7.7312,20170316,100,,251852.62147329285,205790.36840776473,sd6,False
6.8352,20170316,100,,239898.7314369824,205790.36840776473,sd6,False
12.569600000000001,20170316,100,,255145.6405211409,205790.36840776473,sd6,False
6.348800000000001,20170316,100,,240351.64987165746,205790.36840776473,sd6,False
5.5552,20170316,100,,250320.99552745587,209300.90259246185,sd6,False
5.9904,20170316,100,,239832.81751390608,209300.90259246185,sd6,False
4.48,20170316,100,,247759.10597067623,209300.90259246185,sd6,False
4.7616000000000005,20170316,100,,243166.30899170614,209300.90259246185,sd6,False
6.6048,20170316,100,,247075.3005636534,209300.90259246185,sd6,False
13.875200000000001,20170316,100,,256596.27356041162,209300.90259246185,sd6,False
8.3712,20170316,100,,258303.20797601755,209300.90259246185,sd6,False
10.9056,20170316,100,,259010.11605780036,209300.90259246185,sd6,False
5.7344,20170316,100,,236821.48951920605,209300.90259246185,sd6,False
5.760000000000001,20170316,100,1.00,241229.3016105897,207551.61038765163,sd6,False
5.7088,20170316,100,1.00,255624.60172186742,207551.61038765163,sd6,False
6.1184,20170316,100,1.00,293270.3705836943,207551.61038765163,sd6,False
8.4224,20170316,100,1.00,257714.39577309365,207551.61038765163,sd6,False
8.4224,20170316,100,1.00,257714.39577309365,207551.61038765163,sd6,False
4.454400000000001,20170316,100,1.00,266510.0406267902,207551.61038765163,sd6,False
14.848,20170316,100,1.00,250166.58136653042,207551.61038765163,sd6,False
14.848,20170316,100,1.00,250166.58136653042,207551.61038765163,sd6,False
