parameter,mode,hpd_min,hpd_max
tau_1,96.84804094513169,94.06740571484,98.15680343439759
tau_2,11.940886621681555,11.79318565312297,12.112664213996378
beta_1,0.37375380723995133,0.3673383341952254,0.37694463072343404
beta_2,0.5733641824792609,0.5683657085043309,0.5775763622800626
bg,2.992238232039148e-06,3.8482647015935886e-07,0.0033677107565870316
sigma,0.005939012184959526,0.005723108375884549,0.006243288552565928
