,parameter,median,hpd_min,hpd_max
0,n_sr__694,377.468977725874,294.9735994447891,472.36323193145716
1,n_sr__693,377.98952475206283,295.38038156214424,473.0146424848337
2,n_sr__692,377.98952475206283,295.38038156214424,473.0146424848337
3,n_sr__691,507.15383443829637,396.31599109882734,634.6503645544059
4,n_sr__690,643.7340653753415,503.04678146793265,805.5663420528798
5,n_sr__689,643.7340653753415,503.04678146793265,805.5663420528798
6,n_sr__688,347.75956993564415,271.75714598666843,435.1849928954693
7,n_sr__687,347.75956993564415,271.75714598666843,435.1849928954693
8,n_sr__686,430.95828221810325,336.7728825883419,539.2995425547482
9,n_sr__685,442.30001765886703,345.6358957744008,553.4925468137667
10,n_sr__684,539.8391319739727,421.857957278692,675.5526206116061
11,n_sr__683,480.46013401681375,375.4561658934198,601.2459701608124
12,n_sr__682,539.8391319739727,421.857957278692,675.5526206116061
13,n_sr__681,509.69758702743735,398.3038097053695,637.833606794549
14,n_sr__680,500.8318338448557,391.3756559169159,626.7390372432674
15,n_sr__679,436.18013677658683,340.85350729072917,545.8341513344732
16,n_sr__678,573.6288988308012,448.2630123754242,717.8370053439937
17,n_sr__677,484.10849815374354,378.3071845600107,605.8115190580108
18,n_sr__676,486.9443611808006,380.52327322950373,609.3603071805368
19,n_sr__675,477.23756564975434,372.9378858577587,597.213260458004
20,n_sr__674,717.2365055063182,560.4853542058352,897.5470139064772
21,n_sr__673,717.2365055063182,560.4853542058352,897.5470139064772
22,n_sr__672,439.4199327636575,343.38524987135264,549.8884196149321
23,n_sr__671,439.4199327636575,343.38524987135264,549.8884196149321
24,n_sr__670,605.9380349512408,473.5110267521682,758.26853444795
25,n_sr__669,533.3168037895981,416.7610758531082,667.3906041210058
26,n_sr__668,533.3168037895981,416.7610758531082,667.3906041210058
27,n_sr__667,533.3168037895981,416.7610758531082,667.3906041210058
28,n_sr__666,663.0087690525963,518.1090224927847,829.6866323568984
29,n_sr__665,663.0087690525963,518.1090224927847,829.6866323568984
30,n_sr__664,531.7738618164393,415.55534194008794,665.4597724497116
31,n_sr__663,398.57023847853895,311.46320575505086,498.7692687586632
32,n_sr__662,471.6827478653298,368.5970666306976,590.2619827735458
33,n_sr__661,621.1349906011925,485.3867065382949,777.2859465001358
34,n_sr__660,348.4992231410572,272.33514889873817,436.11059208171827
35,n_sr__659,359.49850606303255,280.93055214049247,449.8750525713057
36,n_sr__658,359.49850606303255,280.93055214049247,449.8750525713057
37,n_sr__657,536.1050895467548,418.9399852062005,670.8798542303363
38,n_sr__656,399.42360894735896,312.13007316323973,499.83717329247474
39,n_sr__655,741.1322507407426,579.1587138701958,927.4500579032233
40,n_sr__654,399.42360894735896,312.13007316323973,499.83717329247474
41,n_sr__653,486.0936533029519,379.85848650632215,608.2957346028612
42,n_sr__652,486.0936533029519,379.85848650632215,608.2957346028612
43,n_sr__651,486.0936533029519,379.85848650632215,608.2957346028612
44,n_sr__650,491.8025731200795,384.31972895741114,615.4398549803889
45,n_sr__649,618.6965973772825,483.4812211380065,774.2345505658124
46,n_sr__648,618.6965973772825,483.4812211380065,774.2345505658124
47,n_sr__647,557.3454334004218,435.5382781777389,697.4599391170468
48,n_sr__646,693.9284992699909,542.271283908371,868.3794642392153
49,n_sr__645,557.3454334004218,435.5382781777389,697.4599391170468
50,n_sr__644,459.0064152428386,358.69113082653433,574.3988687166694
51,n_sr__643,441.0704341459883,344.67503621768464,551.953850718601
52,n_sr__642,670.6570310388595,524.085766280252,839.2576380916092
53,n_sr__641,548.6935528701,428.77725543788165,686.6330089830543
54,n_sr__640,441.0704341459883,344.67503621768464,551.953850718601
55,n_sr__639,499.69790298091385,390.4895442410013,625.3200405063558
56,n_sr__638,444.7234324647163,347.5296762713727,556.5251988131395
