parameter,median,hpd_min,hpd_max
n_sr__694,377.46897772587397,294.9735994447891,472.3632319314571
n_sr__693,377.98952475206283,295.38038156214424,473.0146424848337
n_sr__692,377.98952475206283,295.38038156214424,473.0146424848337
n_sr__691,507.1538344382964,396.3159910988274,634.6503645544059
n_sr__690,643.7340653753415,503.0467814679327,805.5663420528797
n_sr__689,643.7340653753415,503.0467814679327,805.5663420528797
n_sr__688,347.7595699356442,271.75714598666843,435.18499289546924
n_sr__687,347.7595699356442,271.75714598666843,435.18499289546924
n_sr__686,430.95828221810325,336.7728825883419,539.2995425547482
n_sr__685,442.300017658867,345.63589577440075,553.4925468137667
n_sr__684,539.8391319739727,421.85795727869197,675.5526206116061
n_sr__683,480.46013401681375,375.4561658934198,601.2459701608124
n_sr__682,539.8391319739727,421.85795727869197,675.5526206116061
n_sr__681,509.6975870274374,398.3038097053695,637.833606794549
n_sr__680,500.83183384485574,391.3756559169159,626.7390372432674
n_sr__679,436.18013677658683,340.8535072907291,545.8341513344732
n_sr__678,573.6288988308011,448.2630123754242,717.8370053439937
n_sr__677,484.1084981537435,378.3071845600107,605.8115190580107
n_sr__676,486.9443611808006,380.52327322950373,609.3603071805368
n_sr__675,477.2375656497543,372.9378858577587,597.213260458004
n_sr__674,717.2365055063183,560.4853542058352,897.5470139064773
n_sr__673,717.2365055063183,560.4853542058352,897.5470139064773
n_sr__672,439.41993276365747,343.3852498713526,549.8884196149321
n_sr__671,439.41993276365747,343.3852498713526,549.8884196149321
n_sr__670,605.9380349512408,473.5110267521682,758.26853444795
n_sr__669,533.3168037895982,416.76107585310814,667.3906041210057
n_sr__668,533.3168037895982,416.76107585310814,667.3906041210057
n_sr__667,533.3168037895982,416.76107585310814,667.3906041210057
n_sr__666,663.0087690525963,518.1090224927846,829.6866323568984
n_sr__665,663.0087690525963,518.1090224927846,829.6866323568984
n_sr__664,531.7738618164393,415.555341940088,665.4597724497116
n_sr__663,398.57023847853895,311.46320575505086,498.7692687586632
n_sr__662,471.6827478653298,368.59706663069755,590.2619827735459
n_sr__661,621.1349906011925,485.38670653829496,777.2859465001357
n_sr__660,348.4992231410572,272.3351488987382,436.1105920817183
n_sr__659,359.49850606303255,280.93055214049247,449.87505257130573
n_sr__658,359.49850606303255,280.93055214049247,449.87505257130573
n_sr__657,536.1050895467549,418.9399852062005,670.8798542303363
n_sr__656,399.42360894735896,312.13007316323973,499.83717329247474
n_sr__655,741.1322507407426,579.1587138701959,927.4500579032231
n_sr__654,399.42360894735896,312.13007316323973,499.83717329247474
n_sr__653,486.0936533029519,379.85848650632215,608.2957346028612
n_sr__652,486.0936533029519,379.85848650632215,608.2957346028612
n_sr__651,486.0936533029519,379.85848650632215,608.2957346028612
n_sr__650,491.8025731200795,384.3197289574111,615.4398549803889
n_sr__649,618.6965973772825,483.48122113800645,774.2345505658124
n_sr__648,618.6965973772825,483.48122113800645,774.2345505658124
n_sr__647,557.3454334004218,435.5382781777389,697.4599391170468
n_sr__646,693.9284992699909,542.271283908371,868.3794642392153
n_sr__645,557.3454334004218,435.5382781777389,697.4599391170468
n_sr__644,459.00641524283867,358.6911308265344,574.3988687166695
n_sr__643,441.0704341459883,344.6750362176846,551.953850718601
n_sr__642,670.6570310388595,524.085766280252,839.2576380916091
n_sr__641,548.6935528701,428.7772554378816,686.6330089830542
n_sr__640,441.0704341459883,344.6750362176846,551.953850718601
n_sr__639,499.6979029809139,390.4895442410013,625.3200405063558
n_sr__638,444.7234324647163,347.5296762713727,556.5251988131395
n_sr__637,604.767435848709,472.59626063586137,756.803651217812
n_sr__636,466.1547122702246,364.2771763786003,583.344220218149
n_sr__635,464.5259546692997,363.0043817371377,581.30599919919
n_sr__634,740.398338388562,578.5851971549841,926.5316427987051
n_sr__633,740.398338388562,578.5851971549841,926.5316427987051
n_sr__632,740.398338388562,578.5851971549841,926.5316427987051
n_sr__631,691.0430457980398,540.0164427243889,864.7686188240232
n_sr__630,665.5872813846937,520.124004143446,832.9133728061471
n_sr__629,600.7002688220496,469.4179679331744,751.7140139896287
