,sample,cell_label,frame_number,total_intensity
275,delta,18,6,60391.66215794375
276,delta,19,6,62448.65162326237
277,delta,20,6,62646.98867408311
278,delta,21,6,150326.7538753857
279,delta,22,6,35291.94217936931
280,delta,23,6,54750.71236959004
281,delta,24,6,60199.78677519785
282,delta,25,6,36298.26563162187
283,delta,26,6,58907.28075335239
284,delta,27,6,48475.209377736006
285,delta,28,6,50984.75211473731
286,delta,29,6,86345.56073359199
287,delta,30,6,45482.9759289855
288,delta,31,6,38773.62230440768
289,delta,32,6,49690.98931871467
290,delta,33,6,55742.67302282766
291,delta,34,6,50714.53811369845
292,delta,35,6,56075.655692793356
293,delta,36,6,40274.734492354895
294,delta,37,6,58279.761073196336
295,delta,38,6,31564.22405394198
296,delta,39,6,16595.078350654967
297,delta,40,6,50390.4303585039
298,delta,41,6,48334.05081612255
299,delta,42,6,55226.22441752834
300,delta,43,6,43422.45756525443
301,delta,1,7,40455.3411603688
302,delta,2,7,55200.20408484645
303,delta,3,7,33924.078957356825
304,delta,4,7,37344.53370959084
305,delta,5,7,33329.75735076007
306,delta,6,7,47607.21389701441
307,delta,7,7,38112.468943301494
308,delta,8,7,87989.48087307974
309,delta,9,7,47823.541586434076
310,delta,10,7,55445.02843567834
311,delta,11,7,39946.128280633995
312,delta,12,7,36462.48452631869
313,delta,13,7,63915.89520454522
314,delta,14,7,58156.7797580647
315,delta,15,7,54899.33687801988
316,delta,16,7,47142.766755320445
317,delta,17,7,51364.84294128286
318,delta,18,7,60172.42974997271
319,delta,19,7,61769.04175643904
320,delta,20,7,65625.75254113288
321,delta,21,7,147251.6376869272
322,delta,22,7,36033.15996409913
323,delta,23,7,55689.52882936825
324,delta,24,7,59623.92007002374
325,delta,25,7,35026.14991420849
326,delta,26,7,56674.508013205574
327,delta,27,7,47701.92080484891
328,delta,28,7,50639.47842657116
329,delta,29,7,83065.39958173956
330,delta,30,7,44979.9752974406
331,delta,31,7,36730.216131803456
332,delta,32,7,48212.90456097393
333,delta,33,7,52383.84861116717
334,delta,34,7,47698.5943362354
335,delta,35,7,52879.710768421144
336,delta,36,7,38561.78898912161
337,delta,37,7,57765.02754915172
338,delta,38,7,31703.922084029226
339,delta,39,7,16975.632395934375
340,delta,40,7,47129.8372633168
341,delta,41,7,45726.68859886995
342,delta,42,7,56567.26602805389
343,delta,43,7,39609.68287855351
344,delta,1,8,41241.722434310796
345,delta,2,8,58643.36936837509
346,delta,3,8,35072.0882429833
347,delta,4,8,38322.50961678246
348,delta,5,8,33942.55397967233
349,delta,6,8,51863.37504136305
350,delta,7,8,40468.10964906219
351,delta,8,8,88981.36967227307
352,delta,9,8,46486.55456826079
353,delta,10,8,53806.51335209401
354,delta,11,8,39267.793489930074
355,delta,12,8,39648.609355756686
356,delta,13,8,64497.802347397905
357,delta,14,8,58346.18318788155
358,delta,15,8,59625.77500443681
359,delta,16,8,49670.68049816287
360,delta,17,8,50219.139505596075
361,delta,18,8,63868.869807235074
362,delta,19,8,63022.62756264386
363,delta,20,8,65499.06940590801
364,delta,21,8,149217.5723884014
365,delta,22,8,37919.15132466094
366,delta,23,8,57883.946708052936
367,delta,24,8,58972.76490091047
368,delta,25,8,36145.832503221245
369,delta,26,8,57348.12073862043
370,delta,27,8,50371.78052807104
371,delta,28,8,51827.35610365319
372,delta,29,8,87741.66281730609
373,delta,30,8,48273.69665965878
374,delta,31,8,40337.83173608845
375,delta,32,8,48011.13091932545
376,delta,33,8,57177.404423607724
377,delta,34,8,50958.52622369994
378,delta,35,8,59483.231117388175
379,delta,36,8,39598.89617087495
380,delta,37,8,59090.60674720911
381,delta,38,8,31837.79588459011
382,delta,39,8,17570.42362561259
383,delta,40,8,47730.07071624084
384,delta,41,8,49615.452696554494
385,delta,42,8,58691.77001190729
386,delta,43,8,41822.285428045834
387,delta,1,9,39925.81635817026
388,delta,2,9,53240.23096027822
389,delta,3,9,34237.21094890467
390,delta,4,9,36261.76335346183
391,delta,5,9,34493.524816072764
392,delta,6,9,47336.093976451986
393,delta,7,9,37081.26659768462
394,delta,8,9,86576.59863124306
395,delta,9,9,46233.42720395695
396,delta,10,9,54656.29264115981
397,delta,11,9,38851.62800800705
398,delta,12,9,36287.154394636425
399,delta,13,9,64237.994191461796
400,delta,14,9,59417.400990583024
401,delta,15,9,52389.802521466285
402,delta,16,9,47384.279827295875
403,delta,17,9,49127.67832573251
404,delta,18,9,60986.58220466884
405,delta,19,9,64280.73350154437
406,delta,20,9,63615.83199637678
407,delta,21,9,147217.1061196526
408,delta,22,9,34564.762630322104
409,delta,23,9,55451.917614912636
410,delta,24,9,61029.67126700346
411,delta,25,9,32929.42735880713
412,delta,26,9,56835.724991243726
413,delta,27,9,47243.688247000086
414,delta,28,9,49028.81592631576
415,delta,29,9,83638.7131774007
416,delta,30,9,44357.23108649716
417,delta,31,9,37484.83909069967
418,delta,32,9,48489.260275572284
419,delta,33,9,55338.48419645237
420,delta,34,9,48114.1327424755
421,delta,35,9,54544.16675184331
422,delta,36,9,39092.597599193185
423,delta,37,9,56492.53932016551
424,delta,38,9,31825.067967338702
425,delta,39,9,17646.513294725493
426,delta,40,9,48741.8660995529
427,delta,41,9,44555.31407728448
428,delta,42,9,59174.4546274611
429,delta,43,9,42058.245235586706
430,delta,1,10,40267.31369327176
431,delta,2,10,58100.19467887524
432,delta,3,10,34191.21770321288
433,delta,4,10,37308.932668375965
434,delta,5,10,34469.84041119629
435,delta,6,10,50572.2633058965
436,delta,7,10,39014.08547206126
437,delta,8,10,86111.75625312458
438,delta,9,10,48059.04744988402
439,delta,10,10,53881.31734309805
440,delta,11,10,39813.826270376645
441,delta,12,10,39952.4380119849
442,delta,13,10,62211.83277235161
443,delta,14,10,59036.75723767128
444,delta,15,10,55968.48346792254
445,delta,16,10,46225.30522065526
446,delta,17,10,52022.55771527016
447,delta,18,10,63196.71366178609
448,delta,19,10,64734.00685069527
449,delta,20,10,64848.5784018409
450,delta,21,10,149092.30400358018
451,delta,22,10,38079.283157490056
452,delta,23,10,54139.2443273304
453,delta,24,10,56923.165107712346
454,delta,25,10,34280.872080807734
455,delta,26,10,56664.940923605
456,delta,27,10,51188.71571459566
457,delta,28,10,50905.69522934244
458,delta,29,10,84962.88160342828
459,delta,30,10,44603.328924933216
460,delta,31,10,37942.499910607155
461,delta,32,10,45765.78037831457
462,delta,33,10,55744.097147406006
463,delta,34,10,49211.25927769238
464,delta,35,10,54940.278781799745
465,delta,36,10,38574.92569401069
466,delta,37,10,59339.531157757985
467,delta,38,10,30401.881041219873
468,delta,39,10,16496.34997073651
469,delta,40,10,47428.3799824118
470,delta,41,10,45093.58752532425
471,delta,42,10,54200.576368164024
472,delta,43,10,42080.64610000441
473,delta,1,11,41001.270601379176
474,delta,2,11,54364.54403874121
475,delta,3,11,34795.21662384916
476,delta,4,11,36142.61397021086
477,delta,5,11,32749.264377178108
478,delta,6,11,48448.02208101751
479,delta,7,11,39146.387327035976
480,delta,8,11,86856.6323161801
481,delta,9,11,46185.44792202333
482,delta,10,11,53957.91851807067
483,delta,11,11,41076.085366802006
484,delta,12,11,36702.90047116905
485,delta,13,11,63644.70147150756
486,delta,14,11,59081.12948055651
487,delta,15,11,53766.68390198674
488,delta,16,11,45306.12662503308
489,delta,17,11,47998.945045195214
490,delta,18,11,59842.5967093198
491,delta,19,11,61657.84107831171
492,delta,20,11,63056.757594605
493,delta,21,11,151405.80419577032
494,delta,22,11,36675.18766520286
495,delta,23,11,56454.798784910236
496,delta,24,11,58458.484154979946
497,delta,25,11,34702.37316556235
498,delta,26,11,55904.437223603185
499,delta,27,11,48088.49552135898
500,delta,28,11,50640.36909482978
501,delta,29,11,81962.65512865566
502,delta,30,11,46387.37440108047
503,delta,31,11,37595.36185226318
504,delta,32,11,45359.21464987515
505,delta,33,11,54550.54878391228
506,delta,34,11,51091.152445939944
507,delta,35,11,52615.272973734754
508,delta,36,11,35981.76272349311
509,delta,37,11,58813.31796947964
510,delta,38,11,30671.140064699382
511,delta,39,11,16656.049342597504
512,delta,40,11,47507.31574401564
513,delta,41,11,43959.32028600971
514,delta,42,11,57623.6768230132
515,delta,43,11,42060.314079013944
516,delta,1,12,40040.272573453956
517,delta,2,12,52825.79406497313
518,delta,3,12,33642.80268690063
519,delta,4,12,35701.517750684485
520,delta,5,12,32158.056511581555
521,delta,6,12,47943.000469776554
522,delta,7,12,36120.5121850522
523,delta,8,12,86658.323018386
524,delta,9,12,46415.155125746765
525,delta,10,12,53747.19803117118
526,delta,11,12,39089.0888349124
527,delta,12,12,35701.14173460273
528,delta,13,12,59752.333716534165
529,delta,14,12,58203.7611484107
530,delta,15,12,55037.82077532607
531,delta,16,12,46576.723663310106
532,delta,17,12,49210.68594415675
533,delta,18,12,57527.86423394839
534,delta,19,12,59363.95819814155
535,delta,20,12,63030.99865045849
536,delta,21,12,143411.16710538484
537,delta,22,12,34906.006065456706
538,delta,23,12,55167.07908922031
539,delta,24,12,57279.55943844916
540,delta,25,12,34065.62128972353
541,delta,26,12,55505.653842184
542,delta,27,12,45863.46860748507
543,delta,28,12,49239.68552400198
544,delta,29,12,78271.7484900478
545,delta,30,12,43479.31031739166
546,delta,31,12,36085.25568692388
547,delta,32,12,46749.08834415466
548,delta,33,12,54028.341027408984
549,delta,34,12,48260.879135130075
550,delta,35,12,50810.17028134509
551,delta,36,12,36152.67235027339
552,delta,37,12,56469.471077423135
553,delta,38,12,30623.98278099297
554,delta,39,12,16459.030451010418
555,delta,40,12,46812.97897383251
556,delta,41,12,42631.2048659528
557,delta,42,12,54313.56656891004
558,delta,43,12,39015.68143917093
559,delta,1,13,40658.16680561842
560,delta,2,13,52177.428394865485
561,delta,3,13,33064.473857816294
562,delta,4,13,34499.51179577843
563,delta,5,13,33105.52653779413
564,delta,6,13,48343.884265084045
565,delta,7,13,36259.67761903198
566,delta,8,13,83526.63244585702
567,delta,9,13,46881.631734250186
568,delta,10,13,55468.86648357646
569,delta,11,13,39691.21840529618
570,delta,12,13,38345.02644928627
571,delta,13,13,61726.415067400296
572,delta,14,13,58596.87705143436
573,delta,15,13,52121.064712906074
574,delta,16,13,47458.06199308592
575,delta,17,13,49065.75657720597
576,delta,18,13,59662.75381785315
577,delta,19,13,61503.061278326364
578,delta,20,13,64344.263049192676
579,delta,21,13,143080.58601330913
580,delta,22,13,34860.289186301474
581,delta,23,13,55531.60185677154
582,delta,24,13,58404.74669161945
583,delta,25,13,34515.430398794466
584,delta,26,13,54757.496159214366
585,delta,27,13,50293.63490287071
586,delta,28,13,48600.492263421474
587,delta,29,13,83478.54530397286
588,delta,30,13,42665.95189728372
589,delta,31,13,38974.575402584436
590,delta,32,13,49688.64680176863
591,delta,33,13,56265.5119137302
592,delta,34,13,47945.582743413615
593,delta,35,13,52538.71376202762
594,delta,36,13,39537.90374438395
595,delta,37,13,59460.00784600334
596,delta,38,13,30594.11790344719
597,delta,39,13,16745.32076878217
598,delta,40,13,47226.68501363687
599,delta,41,13,45632.243951682634
600,delta,42,13,54108.17067073755
601,delta,43,13,40574.004564341725
602,delta,1,14,41549.01493154922
603,delta,2,14,56137.34726038984
604,delta,3,14,35562.729512138445
605,delta,4,14,36099.84090683374
606,delta,5,14,34100.68132986394
607,delta,6,14,48292.82810909487
608,delta,7,14,36508.38653870646
609,delta,8,14,86729.43314803226
610,delta,9,14,46057.0467312499
611,delta,10,14,52504.520522446284
612,delta,11,14,39130.763466032215
613,delta,12,14,37546.661551693265
614,delta,13,14,62401.099287939025
615,delta,14,14,58675.05179969085
616,delta,15,14,56643.256368902745
617,delta,16,14,46946.97364951876
618,delta,17,14,50967.50937554911
619,delta,18,14,61791.05037950208
620,delta,19,14,62447.03734223331
621,delta,20,14,63878.01145397954
622,delta,21,14,145270.11700176224
623,delta,22,14,36026.36336558635
624,delta,23,14,54170.78426154178
625,delta,24,14,59973.70088872162
626,delta,25,14,34566.99176348348
627,delta,26,14,55090.76894765005
628,delta,27,14,48609.99644264734
629,delta,28,14,51405.225896489545
630,delta,29,14,82100.09336630319
631,delta,30,14,43760.50085789973
632,delta,31,14,39605.66672066785
633,delta,32,14,47140.35739308945
634,delta,33,14,53273.24227649244
635,delta,34,14,48543.43592710615
636,delta,35,14,53233.79153036632
637,delta,36,14,37755.924471430706
638,delta,37,14,57186.069092093094
639,delta,38,14,30667.794987446177
640,delta,39,14,17055.685260031816
641,delta,40,14,49518.813482496764
642,delta,41,14,45847.263285520225
643,delta,42,14,56701.0445737509
644,delta,43,14,42534.791138714696
645,delta,1,15,43029.49816549064
646,delta,2,15,55587.299482948016
647,delta,3,15,34353.21681312788
648,delta,4,15,34439.942377374995
649,delta,5,15,31248.73139448305
650,delta,6,15,46874.68109226483
651,delta,7,15,36145.67656438321
652,delta,8,15,88081.08225252917
653,delta,9,15,45740.54530334828
654,delta,10,15,50901.322996372706
655,delta,11,15,39273.83099088169
656,delta,12,15,37350.68584494548
657,delta,13,15,61104.22261216542
658,delta,14,15,57945.101550549996
659,delta,15,15,55231.34481933512
660,delta,16,15,48582.43967296519
661,delta,17,15,50184.51675339966
662,delta,18,15,59763.6297333792
663,delta,19,15,60632.60542427673
664,delta,20,15,61908.67724991849
665,delta,21,15,141212.75327537808
666,delta,22,15,35790.87127378764
667,delta,23,15,55492.17941088702
668,delta,24,15,60642.314417578746
669,delta,25,15,34729.39679404882
670,delta,26,15,53626.314682890836
671,delta,27,15,48359.23801686531
672,delta,28,15,48727.71289342834
673,delta,29,15,82304.24280570917
674,delta,30,15,47794.12322710516
675,delta,31,15,40240.03455641533
676,delta,32,15,49699.8587234877
677,delta,33,15,55278.85302839629
678,delta,34,15,50012.20761007653
679,delta,35,15,52808.467731860874
680,delta,36,15,38202.12438772703
681,delta,37,15,56608.48893661804
682,delta,38,15,31195.381103654567
683,delta,39,15,16172.381154930044
684,delta,40,15,46658.34411073612
685,delta,41,15,45564.7667907721
686,delta,42,15,54461.50632203121
687,delta,43,15,41034.707730966526
688,delta,1,16,43792.97039701048
689,delta,2,16,55886.82297355616
690,delta,3,16,36126.445513062965
691,delta,4,16,37132.2573140615
692,delta,5,16,33400.086031957115
693,delta,6,16,50307.74034904996
694,delta,7,16,36655.97293567558
695,delta,8,16,88337.09830012775
696,delta,9,16,47109.578640658016
697,delta,10,16,52782.420241674845
698,delta,11,16,40770.91249371299
699,delta,12,16,38548.67987137904
700,delta,13,16,63519.89951824072
701,delta,14,16,62231.08488335655
702,delta,15,16,55682.74904949989
703,delta,16,16,45193.520022613084
704,delta,17,16,50054.840307861276
705,delta,18,16,60865.80217747503
706,delta,19,16,64811.278769686185
707,delta,20,16,64560.71599760253
708,delta,21,16,145571.83318219954
709,delta,22,16,35728.677148433264
710,delta,23,16,59468.07988797652
711,delta,24,16,58109.57402082572
712,delta,25,16,32596.702201382737
713,delta,26,16,56613.71967567248
714,delta,27,16,47943.1422633585
715,delta,28,16,48133.04959971589
716,delta,29,16,81418.55426160566
717,delta,30,16,42678.959049423545
718,delta,31,16,37707.014568005216
719,delta,32,16,47913.18690853155
720,delta,33,16,56995.72530421219
721,delta,34,16,49033.3375357882
722,delta,35,16,55709.20946987592
723,delta,36,16,38618.64019715019
724,delta,37,16,59481.101941375644
725,delta,38,16,32384.85006150139
726,delta,39,16,16841.992366240214
727,delta,40,16,48584.96805568057
728,delta,41,16,47021.36592983484
729,delta,42,16,54042.00825508647
730,delta,43,16,42881.22742472409
731,delta,1,17,40011.72664934709
732,delta,2,17,55663.719180070446
733,delta,3,17,35945.78014354285
734,delta,4,17,36210.441477994755
735,delta,5,17,33739.05933353641
736,delta,6,17,47929.23348704656
737,delta,7,17,39011.19815966458
738,delta,8,17,85286.4336442446
739,delta,9,17,46609.45574020592
740,delta,10,17,55011.85002419315
741,delta,11,17,39227.4387066645
742,delta,12,17,38015.58275406164
743,delta,13,17,62642.09669091435
744,delta,14,17,58263.81257334357
745,delta,15,17,54110.639100017834
746,delta,16,17,48822.92770608248
747,delta,17,17,51429.129751686865
748,delta,18,17,62278.84494586503
749,delta,19,17,60125.33670334348
750,delta,20,17,61609.263735255256
751,delta,21,17,145420.47279324694
752,delta,22,17,36738.97567661874
753,delta,23,17,56486.23498752463
754,delta,24,17,58926.90293193559
755,delta,25,17,34389.82206524226
756,delta,26,17,55181.60756872237
757,delta,27,17,47530.755174325015
758,delta,28,17,50499.71799255842
759,delta,29,17,81160.80993780756
760,delta,30,17,43713.97780905993
761,delta,31,17,38178.9577713682
762,delta,32,17,49583.10435575726
763,delta,33,17,55241.18684877119
764,delta,34,17,49511.18466595384
765,delta,35,17,54496.059275758875
766,delta,36,17,39973.35389554029
767,delta,37,17,59082.91416076108
768,delta,38,17,32976.01440162155
769,delta,39,17,16833.224273469776
770,delta,40,17,48825.34112105778
771,delta,41,17,43760.28575714457
772,delta,42,17,56493.93781899687
773,delta,43,17,40056.14633119167
774,delta,1,18,40095.82949355558
775,delta,2,18,50894.30950056721
776,delta,3,18,32938.12823003764
777,delta,4,18,34204.03741709159
778,delta,5,18,32021.062985463872
779,delta,6,18,46212.38137866914
780,delta,7,18,37307.50886014768
781,delta,8,18,82363.84019045022
782,delta,9,18,42826.354860085834
783,delta,10,18,52740.9739938963
784,delta,11,18,38784.32451678122
785,delta,12,18,37281.95496498655
786,delta,13,18,61194.22513756783
787,delta,14,18,56566.0346531011
788,delta,15,18,54041.417349503325
789,delta,16,18,46217.248702292796
790,delta,17,18,48873.20310717618
791,delta,18,18,61384.72568574679
792,delta,19,18,62213.127230122045
793,delta,20,18,63189.620162349864
794,delta,21,18,141546.8194615768
795,delta,22,18,34970.901703038704
796,delta,23,18,54632.45290796341
797,delta,24,18,57927.51758336375
798,delta,25,18,32862.890028861984
799,delta,26,18,52602.49981301719
800,delta,27,18,50530.55075752082
801,delta,28,18,50509.34416623527
802,delta,29,18,79012.00046824798
803,delta,30,18,42263.99935670244
804,delta,31,18,37838.7960321159
805,delta,32,18,48479.30835016514
806,delta,33,18,51753.56291764509
807,delta,34,18,46721.1484256584
808,delta,35,18,55496.76641290763
809,delta,36,18,36800.21405992826
810,delta,37,18,56053.45691509685
811,delta,38,18,31149.569311019848
812,delta,39,18,16057.034042947476
813,delta,40,18,46664.320128812105
814,delta,41,18,44740.39622489729
815,delta,42,18,52210.7935909341
816,delta,43,18,38881.07146019898
817,delta,1,19,42062.50300779704
818,delta,2,19,52198.1024054764
819,delta,3,19,33172.46150127133
820,delta,4,19,35507.67045464626
