,sample,cell_label,frame_number,total_intensity
0,delta,1,0,45098.384263052285
1,delta,2,0,59483.54489201242
2,delta,3,0,37436.36360031
3,delta,4,0,36217.14608935575
4,delta,5,0,36436.75182845342
5,delta,6,0,52239.34626400348
6,delta,7,0,42814.57792019808
7,delta,8,0,93323.9666100381
8,delta,9,0,51428.641936314394
9,delta,10,0,59647.20195160292
10,delta,11,0,43146.19756581187
11,delta,12,0,40168.26442485815
12,delta,13,0,67993.83939305297
13,delta,14,0,64283.46665323379
14,delta,15,0,60427.33259630966
15,delta,16,0,53409.186234451634
16,delta,17,0,55118.86461089949
17,delta,18,0,67722.45861495243
18,delta,19,0,69745.30182602705
19,delta,20,0,70954.04133358749
20,delta,21,0,167310.1946127537
21,delta,22,0,38605.46149147732
22,delta,23,0,60637.70643476392
23,delta,24,0,66517.66534475726
24,delta,25,0,36843.02937519735
25,delta,26,0,61775.72370812989
26,delta,27,0,52830.09076356269
27,delta,28,0,54753.09199722125
28,delta,29,0,88747.17288098866
29,delta,30,0,50393.02839531205
30,delta,31,0,39835.39800819108
31,delta,32,0,52969.88254791023
32,delta,33,0,60561.646017784005
33,delta,34,0,52515.13754298185
34,delta,35,0,57797.18211347209
35,delta,36,0,40954.040277731074
36,delta,37,0,62069.12538847996
37,delta,38,0,34642.96373258054
38,delta,39,0,16749.018064507534
39,delta,40,0,55443.608688824985
40,delta,41,0,48640.741239733565
41,delta,42,0,62554.54660479713
42,delta,43,0,46152.99265707954
43,delta,1,1,41692.616385593865
44,delta,2,1,53874.54747866889
45,delta,3,1,34270.57393664442
46,delta,4,1,36870.803651206195
47,delta,5,1,35328.20006548301
48,delta,6,1,51075.8372464662
49,delta,7,1,41271.74897831251
50,delta,8,1,89072.28255739693
51,delta,9,1,50965.441413843764
52,delta,10,1,55525.77882812418
53,delta,11,1,40520.27180100253
54,delta,12,1,40458.66397337821
55,delta,13,1,62597.34236704343
56,delta,14,1,62673.740148141966
57,delta,15,1,57446.08917845696
58,delta,16,1,49174.55354410661
59,delta,17,1,54423.96264381966
60,delta,18,1,67045.96446337586
61,delta,19,1,67011.24648480995
62,delta,20,1,67346.11815454531
63,delta,21,1,155440.68313336693
64,delta,22,1,36689.79606155043
65,delta,23,1,59220.73440180697
66,delta,24,1,62152.4414672689
67,delta,25,1,36487.29095572368
68,delta,26,1,57925.73110646033
69,delta,27,1,52652.76319228029
70,delta,28,1,52140.18255443074
71,delta,29,1,89885.18322759945
72,delta,30,1,46233.051760610324
73,delta,31,1,40322.39619853469
74,delta,32,1,48827.34423142356
75,delta,33,1,56166.97394743235
76,delta,34,1,50538.081795193764
77,delta,35,1,54718.44127642603
78,delta,36,1,41439.92314957066
79,delta,37,1,58933.28853506499
80,delta,38,1,32186.26166230986
81,delta,39,1,17712.46105974454
82,delta,40,1,51448.87074625749
83,delta,41,1,47464.173021209645
84,delta,42,1,58523.7536226247
85,delta,43,1,43264.939484219045
86,delta,1,2,43507.351396351536
87,delta,2,2,54224.812202991714
88,delta,3,2,34765.73855262754
89,delta,4,2,38058.599487687155
90,delta,5,2,35964.99852240398
91,delta,6,2,50868.856896023855
92,delta,7,2,39601.66814105588
93,delta,8,2,88571.62367990722
94,delta,9,2,49193.80246089836
95,delta,10,2,55868.32477424211
96,delta,11,2,43026.93094652621
97,delta,12,2,40185.05026332915
98,delta,13,2,64960.93476524401
99,delta,14,2,58699.25688600389
100,delta,15,2,55222.66974135724
101,delta,16,2,52038.06814983573
102,delta,17,2,52939.16470397196
103,delta,18,2,65713.44704330259
104,delta,19,2,64918.56082857004
105,delta,20,2,66680.17314865395
106,delta,21,2,151354.08061952877
107,delta,22,2,35535.832580621136
108,delta,23,2,56335.83862327689
109,delta,24,2,64408.61235608367
110,delta,25,2,36568.76777882039
111,delta,26,2,59743.251718693675
112,delta,27,2,53019.914559242025
113,delta,28,2,52418.56068966616
114,delta,29,2,87797.90839480478
115,delta,30,2,48102.90870576943
116,delta,31,2,37843.711490543625
117,delta,32,2,49307.51114490903
118,delta,33,2,59903.53496613706
119,delta,34,2,48548.72693298021
120,delta,35,2,58479.04405902456
121,delta,36,2,40648.42334438225
122,delta,37,2,60522.261524628426
123,delta,38,2,31044.295296441756
124,delta,39,2,17624.965350441587
125,delta,40,2,52084.52126449168
126,delta,41,2,50377.81173193019
127,delta,42,2,58818.477363035905
128,delta,43,2,46159.174367785345
129,delta,1,3,42810.55429117472
130,delta,2,3,57654.96580617624
131,delta,3,3,33720.903930294946
132,delta,4,3,35633.13364945608
133,delta,5,3,34594.44280728514
134,delta,6,3,49268.030343067876
135,delta,7,3,37631.91177825821
136,delta,8,3,88183.10738055399
137,delta,9,3,48239.206172237784
138,delta,10,3,54951.024159695335
139,delta,11,3,44644.55860265043
140,delta,12,3,37958.58121858393
141,delta,13,3,61387.54306721953
142,delta,14,3,60987.46236334591
143,delta,15,3,54978.75094700973
144,delta,16,3,46530.4278097142
145,delta,17,3,54152.92986844087
146,delta,18,3,64732.683789925126
147,delta,19,3,62845.14098138509
148,delta,20,3,68141.41808277444
149,delta,21,3,151380.078266414
150,delta,22,3,35930.416224502194
151,delta,23,3,56127.89050659686
152,delta,24,3,62264.939652806075
153,delta,25,3,36585.52324002984
154,delta,26,3,59060.00590045554
155,delta,27,3,51093.31373449051
156,delta,28,3,51006.42111167339
157,delta,29,3,82533.65717102327
158,delta,30,3,47544.39664300625
159,delta,31,3,38494.37360334236
160,delta,32,3,48637.32086314227
161,delta,33,3,57652.91543044517
162,delta,34,3,48726.07333819199
163,delta,35,3,56780.46515183526
164,delta,36,3,39124.13376337346
165,delta,37,3,59353.6811278152
166,delta,38,3,32894.35432652402
167,delta,39,3,17614.584383101585
168,delta,40,3,48877.89536644834
169,delta,41,3,47028.6535298546
170,delta,42,3,59519.44491544542
171,delta,43,3,43795.91234050261
172,delta,1,4,41610.14047610548
173,delta,2,4,56129.62467252175
174,delta,3,4,32775.02464948746
175,delta,4,4,34963.690971728276
176,delta,5,4,34650.990468036085
177,delta,6,4,48627.141882556156
178,delta,7,4,38381.77482634477
179,delta,8,4,86725.36077636882
180,delta,9,4,47852.25705670396
181,delta,10,4,53033.950547915854
182,delta,11,4,41055.89016266049
183,delta,12,4,38171.926994650246
184,delta,13,4,65389.358582734676
185,delta,14,4,58118.4391711757
186,delta,15,4,56198.64026936107
187,delta,16,4,47728.842367461395
188,delta,17,4,51298.86115913115
189,delta,18,4,62899.50472636228
190,delta,19,4,64209.402523670215
191,delta,20,4,66939.02376411001
192,delta,21,4,150025.97872210783
193,delta,22,4,36825.35085825851
194,delta,23,4,56922.49528857779
195,delta,24,4,61868.158782589264
196,delta,25,4,37471.580399125196
197,delta,26,4,57325.63128268731
198,delta,27,4,51799.55257715036
199,delta,28,4,50572.4570827221
200,delta,29,4,83289.5846735024
201,delta,30,4,46976.2944671491
202,delta,31,4,39323.157732106505
203,delta,32,4,50280.05274968346
204,delta,33,4,54641.270374002976
205,delta,34,4,49230.442083981776
206,delta,35,4,55272.23840416843
207,delta,36,4,39086.46507165944
208,delta,37,4,57824.20918077615
209,delta,38,4,34415.36663345916
210,delta,39,4,16785.933187675764
211,delta,40,4,49881.46902230295
212,delta,41,4,48530.725024722546
213,delta,42,4,57191.89694793736
214,delta,43,4,43695.846590499146
215,delta,1,5,42139.30380517709
216,delta,2,5,57482.22956292247
217,delta,3,5,35315.00851238153
218,delta,4,5,37149.50395698151
219,delta,5,5,36490.67992572478
220,delta,6,5,50175.90635057284
221,delta,7,5,38290.43613739097
222,delta,8,5,87773.71609926714
223,delta,9,5,48182.191830190524
224,delta,10,5,56535.36806304986
225,delta,11,5,41426.275061730186
226,delta,12,5,37167.23585119221
227,delta,13,5,66543.17905275674
228,delta,14,5,59133.41145835115
229,delta,15,5,54566.25282338103
230,delta,16,5,49732.94750289337
231,delta,17,5,52010.67960829949
232,delta,18,5,61848.62292184289
233,delta,19,5,65270.39085943521
234,delta,20,5,66174.8506066516
235,delta,21,5,145900.4238376413
236,delta,22,5,35371.200285135485
237,delta,23,5,54890.47383562518
238,delta,24,5,60473.530676462404
239,delta,25,5,34912.27948675324
240,delta,26,5,57372.43141146548
241,delta,27,5,49707.47344442008
242,delta,28,5,53051.623385555664
243,delta,29,5,85734.347942097
244,delta,30,5,46060.23140604479
245,delta,31,5,40081.46510115002
246,delta,32,5,49560.16349543901
247,delta,33,5,54582.136127587146
248,delta,34,5,51750.085958785145
249,delta,35,5,55873.909153579094
250,delta,36,5,39124.98028925145
251,delta,37,5,60507.67196857321
252,delta,38,5,31810.733195310404
253,delta,39,5,17707.957634012026
254,delta,40,5,49502.12914976997
255,delta,41,5,46036.95005333404
256,delta,42,5,57328.93978404975
257,delta,43,5,43812.77050004836
258,delta,1,6,41709.33127178518
259,delta,2,6,55735.66167253743
260,delta,3,6,34595.59142468163
261,delta,4,6,35766.72018080579
262,delta,5,6,33493.55705324846
263,delta,6,6,49469.65218786974
264,delta,7,6,38962.93585676494
265,delta,8,6,88768.8730099191
266,delta,9,6,48806.11140251286
267,delta,10,6,54775.23736321496
268,delta,11,6,40244.17334702203
269,delta,12,6,38158.447330347015
270,delta,13,6,64948.32170203379
271,delta,14,6,60477.162717284256
272,delta,15,6,56163.11118741362
273,delta,16,6,48059.69669291761
274,delta,17,6,51328.06853407378
