area,date,exposure_ms,flow_rate,intensity,mean_bg,rbs,survival,rescaled_intensity
5.6576,20170525,25,0.01,217327.19920344945,103629.09681321352,sd1,True,454792.4095609437
5.7344,20170525,25,0.01,207743.08107987212,103629.09681321352,sd1,True,416455.9370666344
5.7344,20170525,25,0.01,207743.08107987212,103629.09681321352,sd1,True,416455.9370666344
5.7344,20170525,25,0.01,207743.08107987212,103629.09681321352,sd1,True,416455.9370666344
4.5824,20170525,25,0.01,168015.51051565658,103629.09681321352,sd1,True,257545.65480977227
9.088,20170525,25,0.01,184980.692822852,103629.09681321352,sd1,True,325406.3840385539
9.088,20170525,25,0.01,184980.692822852,103629.09681321352,sd1,True,325406.3840385539
7.7056,20170525,25,0.01,189791.31929135215,105947.1422575858,sd1,False,335376.7081350654
7.7056,20170525,25,0.01,189791.31929135215,105947.1422575858,sd1,False,335376.7081350654
7.7056,20170525,25,0.01,189791.31929135215,105947.1422575858,sd1,False,335376.7081350654
11.7504,20170525,25,0.01,201875.22177895124,101862.17145171015,sd1,True,400052.20130896434
6.016,20170525,25,0.01,215882.33600040484,101587.86011286694,sd1,False,457177.90355015156
4.9152000000000005,20170525,25,0.01,189832.38173795628,101587.86011286694,sd1,False,352978.08650035737
6.7328,20170525,25,0.01,167801.58787039926,101587.86011286694,sd1,False,264854.9110301293
5.8624,20170525,25,0.01,160239.10892592472,101587.86011286694,sd1,False,234604.99525223114
6.1184,20170525,25,0.01,172770.7729245899,104075.19434060594,sd1,False,274782.3143359358
7.219200000000002,20170525,25,0.01,184165.6550765211,104075.19434060594,sd1,True,320361.8429436606
4.1984,20170525,25,0.01,154935.85986943534,93596.08127500104,sd1,False,245359.11437773722
3.8656,20170525,25,0.01,163439.92960683213,93596.08127500104,sd1,False,279375.39332732436
4.1984,20170525,25,0.01,154935.85986943534,93596.08127500104,sd1,True,245359.11437773722
4.1984,20170525,25,0.01,154935.85986943534,93596.08127500104,sd1,True,245359.11437773722
6.4512,20170525,25,0.01,151924.8149787135,93596.08127500104,sd1,True,233314.93481484978
3.8656,20170525,25,0.01,157552.23732946135,104836.12443564102,sd1,False,210864.45157528133
18.9696,20170525,25,0.01,182757.93816977614,100576.69353786307,sd1,False,328724.9785276523
18.9696,20170525,25,0.01,182757.93816977614,100576.69353786307,sd1,True,328724.9785276523
4.3264000000000005,20170525,25,0.01,219928.2587840597,100576.69353786307,sd1,True,477406.26098478655
4.3264000000000005,20170525,25,0.01,219928.2587840597,100576.69353786307,sd1,True,477406.26098478655
14.0032,20170525,25,0.01,209609.03050031074,100576.69353786307,sd1,True,436129.3478497907
6.4768,20170525,25,0.01,197512.06538998647,97594.53154679305,sd1,False,399670.1353727737
6.6048,20170525,25,0.01,177652.45643825445,97594.53154679305,sd1,False,320231.6995658456
6.4768,20170525,25,0.01,197512.06538998647,97594.53154679305,sd1,True,399670.1353727737
5.247999999999999,20170525,25,0.01,167879.20906380855,100239.81767667088,sd1,False,270557.5655485507
