shock_speed,log_post,beta_1,beta_0
fast,-98.42594601803285,0.009823474314998117,-3.141557985510863
fast,-133.476731267957,0.01168120722650051,-3.896848508608835
fast,-102.77034411544741,0.008962790255116856,-2.919044605336538
fast,-104.67248659386206,0.010099379756969881,-3.1422622069197086
fast,-110.85668476259707,0.011389356723513221,-3.756424157367712
fast,-107.70073123384606,0.01113684565873488,-3.6372737366665877
fast,-90.90646583249156,0.009204635972275941,-3.064705549816447
fast,-119.76641686132979,0.009191227866205945,-3.2368227228919633
fast,-138.10982892010878,0.008835068523023,-3.0799799683800426
fast,-85.54452540646611,0.009242666717681982,-3.232150721077584
fast,-182.80992361963496,0.009616356151871529,-3.4147250727576632
fast,-145.00833528184683,0.00880929227441591,-2.9464308680221403
fast,-121.10345688330756,0.009692082549497518,-3.336739379788952
fast,-85.53141228666277,0.009622728507359105,-3.238313583289208
fast,-80.35576659239655,0.009414866594569525,-3.2086745342177996
fast,-114.41023572547903,0.011587434158479251,-3.837234007520083
fast,-134.45272384295026,0.009597725252114197,-3.0589270443570613
fast,-127.2230553184325,0.009701437521691813,-3.3219549649910016
fast,-120.0521566070156,0.01086788010773419,-3.8435926609852613
fast,-128.96240112338427,0.00907470742263686,-2.8108700853599027
fast,-88.78997437359556,0.008722405031635537,-3.0477346320740364
fast,-107.74507939708008,0.011499360995102702,-3.5013881051118316
fast,-133.4721643342267,0.008595024966489055,-3.028471668053444
fast,-119.0505153692493,0.011301487539113537,-3.6861995655339737
fast,-115.76547286936972,0.009736037853599184,-3.414539878163462
fast,-113.27063535347668,0.011050069516606673,-3.612387130751161
fast,-92.99345298539987,0.009649308240020943,-2.910155076897313
fast,-120.71401310160809,0.011141015407844746,-3.652192107932663
fast,-118.81543695585583,0.010949547616793887,-3.6791159741388775
fast,-110.59615788423127,0.009546776832977236,-3.384867103355327
fast,-111.59830337336479,0.009702290202870412,-3.0781075767626023
fast,-107.77709936399822,0.01012118000745797,-3.321241943540571
fast,-108.85888766852366,0.009166193091807802,-3.167547832160319
fast,-97.64507423048957,0.008686872671655632,-2.8317971292735673
fast,-142.29169532032643,0.012008443674472777,-3.6871553413889626
fast,-102.63928216550391,0.013015169939860245,-4.127623034588443
fast,-99.02460191919107,0.010940653280158301,-3.7670677831929646
fast,-113.11780995436061,0.010674781171231768,-3.457019075749326
fast,-131.29841816524288,0.01115237353545073,-3.4310990847397913
fast,-95.23183079077097,0.011352690960620155,-3.6341083094321474
fast,-101.0474137305759,0.008715900004889768,-3.0140966021004574
fast,-106.3363893235371,0.00952776950927335,-3.181065242437253
fast,-112.45412668827834,0.009860495910608271,-3.1934015851892386
fast,-131.73097197058684,0.008819384625482611,-3.1588049022286873
fast,-87.34605629087645,0.008834718346530344,-2.983821513339757
fast,-117.46644283896961,0.009515492547687887,-3.2085685353151416
fast,-113.79639625743772,0.008926298309492476,-2.927596677085904
fast,-119.50295931152164,0.009159202238896581,-2.9720889332331675
fast,-84.38324254686256,0.010237020236640897,-3.3763171741757
fast,-140.25705942885494,0.013471041154126506,-4.2319048842250435
fast,-116.06464810208536,0.009561842255260553,-3.2763140462262976
fast,-118.09272977127767,0.010153066384161193,-3.369314896036457
fast,-92.87623423390318,0.010608903287515422,-3.447155137684446
fast,-113.59490731354009,0.00932832829710203,-3.410490484396083
fast,-108.1468701110582,0.011662295597905804,-3.5074183505361796
fast,-120.23075969809747,0.010749460141787749,-3.389380118109386
fast,-129.15833469633327,0.009656136729417779,-3.13004795677443
fast,-65.84106239082121,0.009099150023997703,-3.3258002905754136
fast,-121.40194029536036,0.009998542798382862,-3.11952657179159
fast,-106.448595011267,0.00983168488385737,-3.2372153358089655
fast,-103.57808108577552,0.009863015720335783,-3.346379511106192
fast,-103.90566331768485,0.009570365754373462,-3.1139854449105053
fast,-87.73577158513137,0.008478039802010314,-3.070116008105712
fast,-111.97006699101468,0.009504471144472235,-2.947982167033465
fast,-126.84997980665253,0.009583246324480574,-3.5463171734846903
fast,-97.78505234958357,0.008316481759126438,-2.889416477692556
fast,-164.61745293584318,0.008319229272001363,-2.8176355312930252
fast,-101.30898992837331,0.010489542930667657,-3.233755700505701
fast,-127.5725363199,0.010884878498900475,-3.728265532717502
fast,-77.90106001636923,0.010458946630816032,-3.5914706057183143
fast,-94.35802618381814,0.00896497080905476,-3.114408302255901
fast,-122.87968739121806,0.009757878008949313,-3.1204192864281843
fast,-141.07447784360028,0.008332777272695888,-2.8928702312755923
fast,-102.99466061210859,0.00895781195242949,-3.22745417368101
fast,-103.86236643775044,0.011075660912353976,-3.6035457069187915
fast,-120.21605467668229,0.009351310746071312,-3.279490016796124
fast,-132.56211262387257,0.0077562298411568325,-2.8035394778926688
fast,-98.93601170579143,0.01054443120773416,-3.3765312496277984
fast,-124.26343625342173,0.00958014634367411,-3.20725327724768
fast,-87.91247525480708,0.010646020526428032,-3.7069805795881576
fast,-109.33145798530558,0.009749049839588693,-3.1249732556910734
fast,-98.15955865856762,0.010045880811513502,-3.4086460949343347
fast,-80.51546955990483,0.008478413393176983,-2.906590817438185
fast,-104.5999358452429,0.009507860343374551,-3.279227210709548
fast,-134.86443755906714,0.008826353218176194,-2.945333567556477
fast,-147.11011233521904,0.009162890160621186,-3.0552493369465616
fast,-116.29606476391172,0.010387747182844452,-3.574997252846747
fast,-109.89571200581787,0.010971839278352144,-3.5785013485815167
fast,-102.25541475688607,0.01016074033825945,-3.4507629892509213
fast,-101.2635427917275,0.009983227549004105,-3.2708495974217366
fast,-92.23780625264021,0.009970804243144537,-3.1694122247701
fast,-106.87525645354998,0.008719553997522606,-3.1872172973704185
fast,-128.99470949711406,0.008227659181866985,-3.1097480335784384
fast,-122.7017082001147,0.008375468009368543,-2.837690255985674
fast,-113.11886406715365,0.00862811558014175,-3.1548583213490846
fast,-92.2130378932103,0.01012955070224956,-3.235815478693496
fast,-131.60489306014864,0.010327153103207618,-3.1483137836962474
fast,-127.13672624595966,0.009784608897446359,-3.181416328287374
fast,-99.02714181502927,0.010429226179850568,-3.4409776353492783
fast,-92.90481409930186,0.010900478421309423,-3.543314545531971
fast,-110.65102138419934,0.0088833031270034,-3.1327700515281807
fast,-104.91089158392492,0.008320476812564176,-3.029189245308227
fast,-108.1206040092377,0.011783227513288912,-3.778654111144991
fast,-111.27377448794476,0.013437374837536532,-4.024736795464874
fast,-113.09834895640074,0.00959056952855101,-3.1849029001409277
fast,-96.51495012905701,0.009629775184523416,-3.3267086836826483
fast,-135.8872573923171,0.009875852061389995,-3.285940118016492
fast,-84.37174569387673,0.009701458377544128,-3.0402642300519864
fast,-91.44243889736708,0.009096386751641648,-3.1779996088605964
fast,-109.77126729729491,0.010098878265686732,-3.242464012475132
fast,-112.77419388973493,0.009699519699379152,-3.21493574862165
fast,-106.83871406447395,0.007903443783561132,-2.712479237712836
fast,-107.06682707733472,0.01032653462874066,-3.4253623287086694
fast,-119.25409953406063,0.010720793143643317,-3.428141770031942
fast,-120.8441172550987,0.010496623935794914,-3.5502757219420515
fast,-142.74386555203972,0.009759050887614371,-3.140185892344631
fast,-124.87775252172958,0.00942686307321071,-3.159621686604925
fast,-135.19280553289718,0.011494698241472678,-3.5341578265046474
fast,-104.14842366749616,0.009568315669695647,-3.190754481807486
fast,-95.42074887084254,0.010182671236124688,-3.5268057479032446
