parameter,median,hpd_min,hpd_max
n_sr__694,216.1609311962758,170.19633323791618,269.28627605551435
n_sr__693,216.1609311962758,170.19633323791618,269.28627605551435
n_sr__692,378.8641924198612,298.302269462631,471.97672096853915
n_sr__691,216.1609311962758,170.19633323791618,269.28627605551435
n_sr__690,306.6364873629308,241.43310956936045,381.99778899791335
n_sr__689,303.89733534863103,239.27641258237463,378.58544227365275
n_sr__688,303.89733534863103,239.27641258237463,378.58544227365275
n_sr__687,303.89733534863103,239.27641258237463,378.58544227365275
n_sr__686,336.72946628716466,265.12709830620554,419.486645957758
n_sr__685,365.0313297342302,287.4108355006804,454.7441893580118
n_sr__684,336.72946628716466,265.12709830620554,419.486645957758
n_sr__683,401.76519458017617,316.3335879510774,500.5060465759075
n_sr__682,297.6860021819234,234.38586125266738,370.84756490355545
n_sr__681,373.0765248774401,293.74529522927264,464.7666324899195
n_sr__680,213.2077044596552,167.87108251378504,265.6072419865408
n_sr__679,317.88434232916677,250.28921349827536,396.01000184649666
n_sr__678,404.773478672878,318.7021886000583,504.2536693130855
n_sr__677,404.773478672878,318.7021886000583,504.2536693130855
n_sr__676,404.773478672878,318.7021886000583,504.2536693130855
n_sr__675,506.31851519666805,398.6546239417001,630.755181802331
n_sr__674,409.25687383626405,322.2322317630018,509.83893757110053
n_sr__673,409.25687383626405,322.2322317630018,509.83893757110053
n_sr__672,409.25687383626405,322.2322317630018,509.83893757110053
n_sr__671,359.633249046992,283.1606061257146,448.01943554579924
n_sr__670,359.633249046992,283.1606061257146,448.01943554579924
n_sr__669,289.6715551923727,228.07561137077437,360.86342682403915
n_sr__668,289.6715551923727,228.07561137077437,360.86342682403915
n_sr__667,285.9956980504934,225.1813908305871,356.2841632375498
n_sr__666,367.10668271707823,289.04488410465484,457.3295967818185
n_sr__665,338.7556510593349,266.72243385910775,422.01080121966646
n_sr__664,389.1156704099548,306.3738666496308,484.747679701645
n_sr__663,389.1156704099548,306.3738666496308,484.747679701645
n_sr__662,301.4622822386399,237.3591507151791,375.55193209973726
n_sr__661,301.4622822386399,237.3591507151791,375.55193209973726
n_sr__660,314.56179333842397,247.6731734391479,391.87087809375566
n_sr__659,432.5532372686374,340.5748416510375,538.8607914261036
n_sr__658,317.46242260690497,249.95701105423376,395.4843879431263
n_sr__657,317.46242260690497,249.95701105423376,395.4843879431263
n_sr__656,367.27711289368926,289.17907390006224,457.5419131672685
n_sr__655,367.27711289368926,289.17907390006224,457.5419131672685
n_sr__654,409.25687383626405,322.2322317630018,509.83893757110053
n_sr__653,285.9956980504934,225.1813908305871,356.2841632375498
n_sr__652,432.5532372686374,340.5748416510375,538.8607914261036
n_sr__651,506.31851519666805,398.6546239417001,630.755181802331
n_sr__650,317.88434232916677,250.28921349827536,396.01000184649666
n_sr__649,301.4622822386399,237.3591507151791,375.55193209973726
n_sr__648,345.69986650910994,272.190026916859,430.6616795640938
n_sr__647,359.633249046992,283.1606061257146,448.01943554579924
n_sr__646,446.4656211766647,351.52888739205264,556.192387995909
n_sr__645,446.4656211766647,351.52888739205264,556.192387995909
n_sr__644,242.64115623434247,191.04578637383722,302.27448141783384
n_sr__643,242.64115623434247,191.04578637383722,302.27448141783384
n_sr__642,310.1166220283242,244.173226185005,386.33322787222374
n_sr__641,310.1166220283242,244.173226185005,386.33322787222374
n_sr__640,308.2289740158256,242.68696884704337,383.9816572115304
n_sr__639,270.3424656209053,212.8566717053827,336.78387405084305
n_sr__638,270.3424656209053,212.8566717053827,336.78387405084305
n_sr__637,308.2289740158256,242.68696884704337,383.9816572115304
n_sr__636,351.35161911991565,276.6399872561468,437.70244962984145
