date,sd,exposure_ms,mean_bg,raw_intensity,sub_intensity,area
Jul19,sd0,25,55563.27024390529,144296.72060276679,88733.4503588615,6.4768
Jul19,sd0,25,55563.27024390529,113554.52998991935,57991.25974601406,6.348800000000001
Jul19,sd0,25,55563.27024390529,92663.76201923077,37100.49177532548,4.6592
Jul19,sd0,25,55563.27024390529,166762.46895695364,111199.19871304836,3.8656
Jul19,sd0,25,55563.27024390529,102458.72343117408,46895.45318726879,6.3232
Jul19,sd0,25,55563.27024390529,133697.2545903955,78133.98434649021,4.5312
Jul19,sd0,25,56686.692065796415,143987.53156565654,87300.83949986013,5.0688
Jul19,sd0,25,56686.692065796415,121863.7365797546,65177.04451395818,4.1728000000000005
Jul19,sd0,25,56686.692065796415,106086.45260989011,49399.7605440937,6.9888
Jul19,sd0,25,55765.99970103545,156114.74609375,100348.74639271456,4.096
Jul19,sd0,25,55765.99970103545,96351.50748239436,40585.50778135891,3.6352
Jul19,sd0,25,55765.99970103545,92231.31334459459,36465.31364355914,11.3664
Jul19,sd0,25,58259.68908637962,146219.36825539568,87959.67916901605,3.5584000000000002
Jul19,sd0,25,58259.68908637962,148879.50067934784,90619.81159296821,4.7104
Jul19,sd0,25,57534.672926166575,136833.20063694267,79298.52771077609,4.0192000000000005
Jul19,sd0,25,56746.90006964593,170299.3222891566,113552.42221951068,4.2496
Jul19,sd0,25,56746.90006964593,138157.19436813187,81410.29429848594,4.6592
Jul19,sd0,25,56746.90006964593,103219.4544057377,46472.55433609177,6.2464
Jul19,sd0,25,57774.52868311871,139572.60416666666,81798.07548354795,9.6
Jul19,sd0,25,57774.52868311871,130004.58275139664,72230.05406827792,4.5824
Jul19,sd0,25,57774.52868311871,132338.42329545453,74563.89461233582,11.264000000000001
Jul19,sd0,25,57774.52868311871,99879.82855902778,42105.29987590907,11.0592
Jul19,sd0,25,58125.93683228069,128392.11158906882,70266.17475678812,6.3232
Jul19,sd0,25,58125.93683228069,135825.85983727808,77699.9230049974,8.652800000000001
Jul19,sd0,25,58125.93683228069,191373.1715425532,133247.23471027252,12.032
