sd,flow_rate,survival,intensity,area,channel_density
16sd0,0.02,False,264033.2979368932,7.9104,19.458878757215277
16sd0,0.02,False,284751.04166666674,1.92,23.907528046534964
16sd0,0.02,False,316555.5436643835,3.7376,30.736798504494075
16sd0,0.02,False,323009.1976950355,3.6096,32.122569261746726
16sd0,0.02,False,264033.2979368932,7.9104,19.458878757215277
16sd0,0.02,False,342944.64760638296,2.4064,36.403239311397634
16sd0,0.02,False,338879.5637376237,5.171200000000002,35.53035794460132
16sd0,0.02,True,309515.625,2.944,29.225141174831723
16sd0,0.02,True,338879.5637376237,5.171200000000002,35.53035794460132
16sd0,0.02,False,212115.11948529413,2.6112,8.688483985843282
16sd0,0.02,False,212115.11948529413,2.6112,8.688483985843282
16sd0,0.02,False,311273.64864864864,4.7360000000000015,29.98045120226397
16sd0,0.02,False,241345.8295863309,3.5584,14.96509303233952
16sd0,0.02,False,241345.8295863309,3.5584,14.96509303233952
16sd0,0.02,False,236553.6794354839,3.1744000000000003,13.936091243296158
16sd0,0.02,True,236553.6794354839,3.1744000000000003,13.936091243296158
16sd0,0.02,False,225723.9194651741,5.1456,11.904737488885589
16sd0,0.02,False,328008.0087939699,5.0944,33.86784540431656
16sd0,0.02,False,274318.46855590056,8.2432,22.339276553416948
16sd0,0.02,False,314408.3806818182,4.224,30.94764440534431
16sd0,0.02,False,217953.0352011494,4.4544000000000015,10.236122450035651
16sd0,0.02,False,352331.12980769225,3.3280000000000003,39.09066485913158
16sd0,0.02,False,217953.0352011494,4.4544000000000015,10.236122450035651
16sd0,0.02,True,274318.46855590056,8.2432,22.339276553416948
16sd0,0.02,True,314408.3806818182,4.224,30.94764440534431
16sd0,0.02,True,194175.85784313726,3.9168,5.13053158379969
16sd0,0.02,True,194175.85784313726,3.9168,5.13053158379969
16sd0,0.02,True,225723.9194651741,5.1456,11.904737488885589
16sd0,0.02,True,225714.2857142857,4.3008000000000015,11.902668866954446
16sd0,0.02,True,211574.51923076922,3.9936,8.866485827985576
16sd0,0.02,False,309898.3511740332,4.6336,29.169983972958892
16sd0,0.02,False,262980.46875,3.3280000000000003,19.095469729300873
16sd0,0.02,False,262980.46875,3.3280000000000003,19.095469729300873
16sd0,0.02,False,254906.3240521327,5.4016,17.361736628798596
16sd0,0.02,False,254906.3240521327,5.4016,17.361736628798596
16sd0,0.02,False,291404.56495098036,6.5280000000000005,25.198877369309763
16sd0,0.02,False,291404.56495098036,6.5280000000000005,25.198877369309763
16sd0,0.02,False,367033.4030511811,3.2512000000000003,41.4383955936338
16sd0,0.02,False,307296.2962962963,3.4560000000000004,28.611253749552397
16sd0,0.02,False,320552.6069972826,4.7104,31.45773539099649
16sd0,0.02,True,312875.23674242425,4.224,29.80920029115176
16sd0,0.02,True,343433.7439903845,2.6624000000000003,36.37092261595993
16sd0,0.02,True,320552.6069972826,4.7104,31.45773539099649
16sd0,0.02,False,219195.0158227848,2.0224,9.728926685468018
16sd0,0.02,False,219195.0158227848,2.0224,9.728926685468018
16sd0,0.02,False,331069.8784722222,2.3040000000000003,33.75142810790446
16sd0,0.02,False,278240.45907079644,2.8928000000000003,22.407550022494142
16sd0,0.02,False,272846.6796875,2.8672,21.24936247402256
16sd0,0.02,True,219195.0158227848,2.0224,9.728926685468018
16sd0,0.02,True,370491.9507575758,8.448,42.21639302605411
16sd0,0.02,True,370491.9507575758,8.448,42.21639302605411
16sd0,0.02,True,292560.29211956525,2.3552,25.482398130786606
16sd0,0.02,False,354556.84267241386,6.6816,38.94773124992705
16sd0,0.02,False,354556.84267241386,6.6816,38.94773124992705
16sd0,0.02,False,246120.1690821256,5.2992,15.663500245062671
16sd0,0.02,True,274087.49534970237,8.601600000000001,21.668827260746706
16sd0,0.02,False,261413.9484489051,7.0144,19.541347970793723
16sd0,0.02,False,329626.46484375,6.5536,34.18838514533609
16sd0,0.02,False,329626.46484375,6.5536,34.18838514533609
16sd0,0.02,True,239489.71886617102,6.8864,14.833634156767415
16sd0,0.02,False,246286.2042682927,3.1488,15.531579404353046
16sd0,0.02,False,278691.40625,2.56,22.489836087440196
16sd0,0.02,False,265322.8400735294,6.0928,19.619250216899093
16sd0,0.02,False,265322.8400735294,6.0928,19.619250216899093
16sd0,0.02,True,278691.40625,2.56,22.489836087440196
16sd0,0.02,True,281105.8538732394,1.8176,23.008282055462647
16sd0,0.02,True,215346.35416666663,1.92,8.887972650570642
16sd0,0.02,True,215346.35416666663,1.92,8.887972650570642
16sd0,0.02,True,265322.8400735294,6.0928,19.619250216899093
