shock_speed,log_post,beta_1,beta_0
fast,-238.67348378972522,-0.02153004686918349,-0.679187353505765
fast,-238.8085072845042,-0.02364271968646238,-0.8672369649843567
fast,-238.6047540916737,-0.028005674389569808,-0.6647299916838076
fast,-238.54148502519996,-0.008371211541814767,-1.0047350875507346
fast,-238.18438021313256,-0.014167591375809906,-0.8107961375465246
fast,-238.25718877027236,-0.003360711580157831,-1.004415466571367
fast,-239.0146797052821,-0.03697626948823852,-0.5844239583166309
fast,-238.2178865431065,-0.015790048427000394,-0.8687051941715231
fast,-238.25243421386668,-0.006666387959180893,-0.8537476188591491
fast,-238.2567441474602,-0.004193132412447089,-0.9980452731310903
fast,-238.33864646845615,-0.01930506312408148,-0.8513348541448268
fast,-238.23199460868403,-0.01945665560493965,-0.8063546592562045
fast,-238.92558563789697,0.0167640153565179,-1.2043822496806078
fast,-238.154284779821,-0.0008460966759852966,-0.9599717723626511
fast,-239.00115032867046,-0.030745025551142727,-0.5943280923203627
fast,-238.11482574281357,-0.008039628851474412,-0.9224217700743063
fast,-238.30120223153423,0.0049444653537124225,-1.0513745121233136
fast,-238.1743594609198,-0.0009161489655717101,-0.9440930719866841
fast,-238.52887187126578,0.002765157720307228,-0.9162324313119684
fast,-239.3638806144255,-0.021354831792566614,-0.9458363053042883
fast,-238.98972698855977,-0.03532815998065622,-0.718886227514467
fast,-240.00344779379327,-0.027815684507183587,-0.528236911260277
fast,-238.3219777236477,0.004854867000997042,-1.0596384337922802
fast,-238.21493711205704,0.0011678274735592896,-0.9610613788449531
fast,-240.07438233093563,-0.049154590970469016,-0.4301925225454717
fast,-238.44173543745288,-0.024834395178615725,-0.7069424689586431
fast,-238.55245441874683,-0.029153592557934063,-0.730395647241229
fast,-239.43379157666897,-0.00582018931798055,-1.1071419954857826
fast,-238.19670883760276,-0.00289931692519357,-0.9080973146045314
fast,-240.429688232128,0.03096224182989167,-1.407810333089484
fast,-238.89649955470796,0.01049242574046209,-1.182405646021449
fast,-238.15542606231415,-0.000622694709695247,-0.9655889796582164
fast,-239.4011175357526,0.026489150816540883,-1.259314713497398
fast,-239.45647043316168,0.00040811416232701056,-0.8050140050286688
fast,-238.26067185230812,-0.020293557322902167,-0.8069460863441372
fast,-239.744244345412,-0.04743990474273376,-0.4755794449692018
fast,-238.6206431279397,0.002095345280921354,-1.0997633574772938
fast,-238.5196425838576,-0.014901815425446708,-0.9355217466068196
fast,-239.24515853229158,0.022967882702217397,-1.253285465387208
fast,-238.68389799840222,-0.021840200745899808,-0.8747853966300624
fast,-240.01108938284642,-0.05344367606772936,-0.50326774913715
fast,-239.76639097869315,0.017259987247519377,-1.3008746458470137
fast,-238.252971552326,0.003980587647038267,-1.0278377811551271
fast,-239.62174880841204,0.012456918169028988,-1.2619141142135288
fast,-238.49558313400144,-0.00435598173745806,-1.0348448088758948
fast,-239.3474828632093,0.022224754927346775,-1.2733876291621438
fast,-239.9964898517676,0.01634102670265502,-0.9571784501787823
fast,-238.78776322042327,-0.020332988346660228,-0.6737156421339657
fast,-239.40950071561798,-0.007706049450021268,-0.7272272611377715
fast,-238.4341313169192,-0.019329833831669252,-0.7260533465724276
fast,-238.51122193780387,-0.007786842914592771,-0.80403560884645
fast,-239.48518605733963,0.0012757988076857341,-0.8123239816596289
fast,-240.21217836128957,-0.05081440325683957,-0.4138454962944009
fast,-241.44712834313145,-0.01175450826929509,-1.1620403734597078
fast,-238.76224528739417,-0.03070836548122491,-0.6302232028019873
fast,-238.28421679351612,-0.01980335257707398,-0.7588319633210763
fast,-238.66024887791673,-0.004716070055313654,-1.0511388260488879
fast,-240.09772243849085,-0.03671553987867392,-0.46826630807593683
fast,-240.50367386401714,-0.002456057069821325,-1.2017620236079596
fast,-239.52087497331428,-0.025366869016859986,-0.577032691474767
fast,-238.11300984908877,-0.008160441171962183,-0.9201324911376533
fast,-239.03927586020015,0.015575767941255817,-1.2202960469089705
fast,-238.69920197876135,-0.02395375051046955,-0.6625528770431253
fast,-241.04120555110455,0.019733707625633062,-1.3997626388643896
fast,-239.25291639160403,-0.028560136942392705,-0.5787467807753215
fast,-238.23786570448266,-0.008596505494904816,-0.9559779950797616
fast,-239.24802699593707,-0.024967659758658015,-0.6007649064031619
fast,-238.20402091571574,-0.0035161061812929084,-0.9905596950828907
fast,-239.21519141282906,-0.010165163714837232,-1.050650266589635
fast,-238.49191418854824,0.002442857711645899,-0.9174543638651311
fast,-238.22284818079874,0.001198662284801439,-1.0193837023560144
fast,-238.37423655876415,0.006923644074867774,-1.0764286530658493
fast,-240.7407370056031,-0.0467312412673668,-0.3769154261835075
fast,-238.79545808910194,-0.018285340835104535,-0.6870742828446493
fast,-239.16790060666145,-0.02684243901608169,-0.86463791884991
fast,-238.36792601877286,-0.017468980640370276,-0.7481626107605576
fast,-238.1948131395343,-0.016376735159189127,-0.850663312409515
fast,-239.21317377289705,-0.03691058067312861,-0.5499427641378675
fast,-239.913242593522,0.007051991212106153,-0.8489553788997074
fast,-238.9614744567654,0.008282655783173021,-1.1777145540879317
fast,-239.79993143073477,-0.031253137841680934,-0.5198341136772368
fast,-238.26977634967733,-0.01205879237564386,-0.8030485708817081
fast,-241.79711415321174,-0.004510308419341793,-0.6390358084048625
fast,-238.27268495671623,-0.002155514165784399,-1.01626798947492
fast,-239.93817376701998,0.00721529407402491,-0.8493061633841836
fast,-238.62905013871705,-0.030794472245763926,-0.6668256657855127
fast,-238.5894985803722,0.01033679771572288,-1.1347380133348222
fast,-238.96816046848704,-0.03543631767030616,-0.5908467271011306
fast,-238.28469578310302,0.0025606249825450376,-0.9595756333464811
fast,-238.47624491618024,-0.011550579447149805,-0.9653990187630925
fast,-239.60797113191018,-0.02788422340066546,-0.5542932424954045
fast,-238.93371872536014,0.01105947885694791,-1.1895715987172188
fast,-241.92238025617522,-0.016699848924962426,-0.5231823966365857
fast,-240.54555070469337,0.00950153377176404,-0.8413616304613287
fast,-239.10341423126312,-0.030819729825095434,-0.582185133611989
fast,-238.55506336672372,-0.029501355019335207,-0.7194480302181021
fast,-238.7367655517631,0.016366863236712548,-1.114741808863468
fast,-238.53114870628235,-0.02868746724107286,-0.7330105716893075
fast,-238.98478876356594,-0.03682359706977926,-0.591092197385478
fast,-239.68406847168137,-0.016850028243685006,-1.0169882415350844
fast,-241.55625896243706,0.005035912694321045,-1.3170024162758667
fast,-239.2870815153048,-0.008242748282085736,-1.0742999450056079
fast,-240.41805471927032,-0.032544155403867396,-0.8890421690424752
fast,-239.28182216258563,-0.03358903458875258,-0.5515699125174578
fast,-238.20095374275726,-0.002448386598647702,-0.9965925006103739
fast,-238.1505717123784,-0.0010115429956593582,-0.9603000985479643
fast,-242.08411132345375,0.020141433211930886,-1.4554782921956424
fast,-241.68742231269806,0.025413717997843185,-0.9801770183094332
fast,-238.1491088997611,-0.0010577481247097294,-0.9736881562055335
fast,-238.31439655837707,-0.011978683442114871,-0.9363894506430444
fast,-240.10801246777132,0.034952836485748345,-1.3344633151365033
fast,-238.99933537104775,0.01681589342492739,-1.0586713197812079
fast,-238.3496365869655,-0.009475089432677278,-0.8106015628255258
fast,-238.22196731949995,-0.0010247513887274799,-1.0107595891844545
fast,-238.95343881474764,-0.034683617656297225,-0.723945920370238
fast,-238.9889967373743,0.0022018662114052998,-1.1391384403125875
fast,-239.39448386040107,-0.033999825113520704,-0.5385636830679857
fast,-239.46499874541334,-0.00608079101462807,-0.7389639876243662
fast,-240.46432874342796,-0.005725402226635848,-0.6858675227550504
fast,-238.2412512085311,0.0037170718992826524,-1.0066323726445614
fast,-238.81541996686158,-0.024619687506120275,-0.6447262424747057
fast,-238.73091211577812,-0.03162554352175946,-0.6376329365089926
fast,-240.15060710075832,-0.05159671283559285,-0.42302738800347783
fast,-239.91651650743856,0.0273582546220386,-1.1305664061621736
fast,-238.24380262169925,-0.00957080201152923,-0.828571019883187
fast,-238.25099736904136,-0.02025986377486767,-0.7994708368299328
fast,-239.63063261997644,-0.03667114408757888,-0.5052175231048223
fast,-239.6057942350408,-0.0479045174842184,-0.5180618779588262
fast,-238.36548968769733,-0.008844858361014125,-0.9764499440555194
fast,-239.9462106015182,-0.022186781723284452,-0.5719196775133831
fast,-238.7174191659085,0.01252404929370875,-1.1631609762721866
fast,-238.62423935612338,-0.01729040519069134,-0.7126889615959008
fast,-238.79718073542904,-0.01833333804033674,-0.929366370252505
fast,-239.70902108573569,-0.04681082871568892,-0.6211757065154002
fast,-239.1647469958118,0.019903796584520482,-1.2452269006963168
fast,-239.01231806147933,0.017721883043544297,-1.0732000346606845
fast,-242.8327906289148,0.003744341010395764,-0.6830808462533065
fast,-238.7185562143281,-0.026956755020037464,-0.810509916811012
fast,-238.12696192249555,-0.007182850656952192,-0.9365319078355235
fast,-238.24912479109855,-0.010280738420342009,-0.8214408430644344
fast,-238.42377699735158,0.00914991205684413,-1.0860830554026393
fast,-238.12389657473236,-0.010137382981192274,-0.9054821414821577
fast,-239.6460283997305,0.012738650240858802,-1.2655345923913621
fast,-238.6820420401432,-0.023090198230181876,-0.6693039834852048
fast,-238.57128225240518,-0.01152944133058324,-0.9774681447962471
fast,-238.37410555061805,0.0071822355839864516,-1.0756311523221331
fast,-238.9973826248488,0.012026113817213937,-0.9832586678857579
fast,-238.77083165524718,0.016991652134255505,-1.158138439040799
fast,-239.08576029304677,-0.024643024603447628,-0.6169225029380027
fast,-238.3371511268841,-0.018631993397357695,-0.8604851720454338
fast,-238.33145437289602,-0.010626852188373346,-0.8035560709195961
fast,-240.9262441074674,0.022283073077724775,-0.9785705919199287
fast,-238.706155596905,-0.007663390840197407,-0.7839538669059679
fast,-241.00268676948485,0.017333615338771386,-1.3820793638998108
fast,-238.1148744948982,-0.011126683423316039,-0.8604784834916868
fast,-238.35602200653338,-0.00815734908800161,-0.8215505688921616
fast,-239.04076880024525,0.02133487223109371,-1.1535980412805433
fast,-238.15913851922082,-0.000733437055455425,-0.9575369850327456
fast,-238.5832635997167,0.008590034152109231,-1.1293699411755875
fast,-238.12744794071307,-0.013137504462150496,-0.8465473721772175
fast,-239.04306336098392,-0.039510254938634436,-0.6201263033397069
fast,-238.21120622132935,-0.017008286804066453,-0.7907961387026061
fast,-238.20517513734373,0.0021843063195680894,-1.0003953421733647
fast,-238.16342348286915,-0.007877397833968144,-0.8635703476914721
fast,-240.94409454937883,-0.026980235198871078,-0.4830128574284568
fast,-238.4429608420696,-0.00999953077921843,-0.9764780479808558
fast,-241.9843088905441,-0.03205121866332606,-0.9765553483367003
fast,-241.3532631624162,-0.01654433507215118,-0.5476870875571086
fast,-239.0887059618272,0.008959225939307383,-1.194565295768254
fast,-238.6168832766314,-0.017733798012134237,-0.9158678589784097
fast,-239.32046519239418,-0.002033465354131366,-1.1321412465601028
fast,-238.31929541457205,-0.02282492693925113,-0.7545087492725558
fast,-239.63166371090526,0.006014983702575265,-0.8550233226647229
fast,-240.7211176356733,-0.001289924584282343,-0.7169990726354394
fast,-239.28271262276925,-0.030662982257422033,-0.8266107629033969
fast,-239.0545288287527,0.016384015231217807,-1.0432608175851348
fast,-239.6429935283209,0.0011642316743477451,-0.8008175815305314
fast,-238.73622668061302,0.01623369530697563,-1.109566618881965
fast,-239.43487995094853,-0.04573676686216992,-0.5619749463475022
fast,-238.1536282887714,-0.008790772835263347,-0.9320811966091925
fast,-238.6355849677852,-0.030979540853820264,-0.7174092423384977
fast,-239.48859998543486,0.020885518890778408,-1.0653016557380197
fast,-238.2189160228816,-0.0180809775145228,-0.7870127320030077
fast,-238.42299272699023,0.0026677600190570605,-0.9312387042230927
fast,-238.63310515128057,-0.004626771578623732,-0.8210369129484066
fast,-239.55224653753052,-0.04163014363220171,-0.4988034434060009
fast,-238.99933537104775,0.01681589342492739,-1.0586713197812079
fast,-238.70309005799788,-0.0008638918184600683,-1.0874589852326533
fast,-238.94169466910682,-0.03164143967566581,-0.599183057809147
fast,-239.11253970613305,-0.0036365957544445314,-1.1023070024793262
fast,-238.5152052712626,-0.006891909539657663,-0.8120502869500746
fast,-239.11613549099116,-0.008178926630675966,-1.0617263962793357
fast,-238.25619449995241,-0.01799251805020621,-0.7718609918651653
fast,-238.34864609845283,0.007499738607646656,-1.0534966909422467
fast,-241.0395397397233,-0.04370397620812298,-0.37204273607825744
fast,-238.67678191249794,-0.017321506244300587,-0.706495180655786
fast,-238.675036715241,0.015419639506820935,-1.126866631897055
fast,-238.48479006589568,0.001709686372725499,-0.9093399666476545
fast,-238.2307177416002,-0.012431050719344016,-0.8086373242141964
fast,-240.09628878168573,-0.04128798123410378,-0.754815692403527
fast,-238.18073113530295,-0.017081839492320207,-0.8218382565950143
fast,-238.52713262069756,-0.008711230380761973,-0.7935720309089138
fast,-239.6543702741586,0.010941397693130439,-1.254720828192645
fast,-238.47742037732465,-0.020115541667410752,-0.867203556630737
fast,-238.33084910048126,-0.022995530354814935,-0.7471224196023416
fast,-239.6625401627919,0.013535147688157891,-1.2716638047877185
fast,-238.1886440399904,-0.016499682609481016,-0.8451902412720664
fast,-238.2194158237764,-0.0027663102516069776,-0.9996989261874684
fast,-238.19420471372217,-0.015729679809419,-0.8609567313070405
fast,-239.55762883503638,0.015817517255817492,-0.9829845840076137
fast,-238.73942481479287,0.016272853446811376,-1.1093057521323666
fast,-238.32730160685827,-0.014054502950139009,-0.9157690876034618
fast,-238.8707168463131,-0.0013982231856533127,-1.1000598133404058
fast,-238.63232773305884,-0.013479388453431246,-0.9644373988762159
fast,-238.3757231781123,-0.006238781183882442,-1.001943204052631
fast,-239.11301038288576,0.012838915167988373,-1.2182822129449185
fast,-238.16106159069415,-0.011732135788555082,-0.8330984276204987
fast,-240.10490762985916,0.020157624178004846,-1.0012829745799794
fast,-238.67758491246514,-0.00039433024630821517,-1.0883033051204918
fast,-238.13601679895277,-0.0056824346079521765,-0.8958909929554756
fast,-238.1218749268046,-0.012849798417073656,-0.8566216261724198
fast,-238.5710807301473,-0.025124028313523783,-0.8130645422120104
fast,-239.04088684951896,-0.03943964647769135,-0.6069043321719446
fast,-238.18762914831294,-0.004894716669207298,-0.9760711037519854
fast,-238.11019358739114,-0.005914130258176701,-0.9083347177332387
fast,-238.6323764585052,0.003944381589561853,-0.917421463904919
fast,-241.5267222067215,-0.026220922109437085,-1.0188899323367
fast,-238.4335049074369,-0.004746297553690174,-0.8437742819746288
fast,-238.69513299103542,-0.02137849961444253,-0.6774593676302282
fast,-238.77861132235003,-0.014056411653535725,-0.7210435132444161
fast,-241.87155159511232,0.015019377054482032,-0.8430811209595374
fast,-238.22535783482957,-0.014471774627012294,-0.8886043746014342
fast,-238.30057064540267,0.00034638518927834067,-0.9239782416678376
fast,-239.051143346344,0.007060843134543344,-1.1790339543494148
fast,-241.51392191303273,0.021670050185014868,-0.9400349639466936
fast,-239.4101966547252,-0.025527856527881403,-0.584215760423395
fast,-238.8992093720071,-0.033730511330758724,-0.7310550971080199
fast,-241.03009279870577,0.038051276465632305,-1.2187299935889195
fast,-240.8635442400507,0.008334590176221457,-1.3097654480956242
fast,-238.56193740037332,0.007768303463037611,-0.9799173732452942
fast,-241.5523993780162,-0.03010445661273364,-0.977929706029377
fast,-238.72734614071533,-0.03344576097261578,-0.681623539348094
fast,-238.8887799759935,-0.01528677548740336,-0.7009270399549753
fast,-239.8180555428197,-0.04040508485329055,-0.7427317798812245
fast,-239.52317078370885,-0.025990168873623678,-0.9050698317840481
fast,-239.26489170432248,-0.004165904944687633,-0.771372914166067
fast,-240.58689639872668,0.03926638370229172,-1.3957863121453233
fast,-238.79531612937623,-0.007312703693750821,-1.041709477477252
fast,-238.91503835876043,-0.013810845851008067,-0.9894854443206542
fast,-238.72537062879422,-0.03307373639966221,-0.649460771426433
fast,-238.13042016408514,-0.013667258632680616,-0.850377662458509
fast,-238.23553488710186,-0.019681152484608316,-0.8020985468067072
fast,-238.79354631085505,-0.032247305193408814,-0.6238560072397212
fast,-238.7375950991031,0.015631727147366388,-1.16213661210322
fast,-239.05614204769904,-0.025034032249753122,-0.6172795751297401
fast,-238.439428230852,-0.017617381315156305,-0.8926023430381133
fast,-238.11253547516097,-0.009688115454449139,-0.8700040255726611
fast,-239.3072950153444,-0.038874350747123775,-0.5343568362527308
fast,-241.0181687740249,-0.014370894780234567,-1.116538780505585
fast,-240.43178556745568,-0.0034659495070224304,-0.7094340898081322
fast,-240.0662816281205,-0.005514981838432227,-0.7085607022416778
fast,-239.59371769917206,-0.010635170578982613,-0.6884427250904152
fast,-238.63990141319803,-0.027016954473408298,-0.6592350569195996
fast,-238.80312455807095,-0.018012857093665326,-0.9335911479067375
fast,-238.10843322049902,-0.01106391837206568,-0.8782110676219277
fast,-240.07579459764523,0.027001000221381598,-1.3660523189833973
fast,-238.90214706055036,-0.022360027479248097,-0.6487941533950938
fast,-238.113481365341,-0.0074926985266667925,-0.8880055345372663
fast,-238.621837341039,-0.005658788366954416,-0.8119454222900092
fast,-238.56238518977347,-0.018148202871256694,-0.9040662459662818
fast,-238.48060259171595,-0.01960717537753168,-0.7169434210792054
fast,-238.4209980422995,-0.01800465040545176,-0.8847929439567974
fast,-240.60433708956646,0.037755481362401505,-1.2638335371026181
fast,-239.59235381630373,-0.04638975011987237,-0.6070872223818573
fast,-240.045465123388,0.027977438988015572,-1.1279018245523804
fast,-238.38116372811197,-0.012795560086779859,-0.9387494862799922
fast,-238.61246178389388,-0.029358939100710295,-0.6641527627025052
fast,-239.60283931739932,-0.006744696318475088,-1.1102634744072466
fast,-238.14950752292134,-0.012690251184389123,-0.8858888958165534
fast,-239.32534451989002,0.017662929163888043,-1.0314795961987893
fast,-238.77710490112656,-0.02580912889001092,-0.6433443354650527
fast,-238.19303930468084,-0.016089186443374037,-0.8004561305736482
fast,-238.9727546905275,-0.036204446893231546,-0.5915742182540665
fast,-238.64464481921695,0.00525361179888696,-0.9326237030704618
fast,-239.166833324352,-0.041487805812173026,-0.610488281096755
fast,-241.21510202387424,-0.021572703432523523,-1.0531555637103875
fast,-238.42879510853206,-0.010270316104448394,-0.9718407072383428
fast,-238.46000520484472,-0.01833042195559189,-0.8870967934795799
fast,-238.634155929692,-0.021423536364200704,-0.8735541123851711
fast,-239.0352303402117,-0.038412153735225774,-0.6621957380726399
fast,-239.05071023069434,-0.03264414247102635,-0.7728902302168951
fast,-238.64640549725868,-0.02648699983102446,-0.6596202870029075
fast,-238.36155298129543,-0.022824739236883204,-0.8000653876725113
fast,-238.36472675434345,0.0032553194761021824,-1.0664735359905801
fast,-240.83037214454944,-0.010853104958071489,-0.620705664007965
fast,-238.1598096955693,-0.014184032584866463,-0.8210910288824278
fast,-238.55885881873178,0.009497333575668699,-1.1269797341998582
