,logp,beta_1,beta_0
0,-352.3948329087976,1.8222255835127643,-10.177041154755443
1,-351.1661810817364,1.9932580454969058,-10.889723859107296
2,-352.51285585160866,1.6703603862624639,-9.298042176190012
3,-350.9969440947355,1.8202959299660864,-9.990644468694521
4,-350.8763784390048,1.9596057928174386,-10.755316503516626
5,-351.1448795716573,2.04489039638758,-11.238815729956615
6,-351.36845851797625,2.071722390754838,-11.418228661071165
7,-351.2033738895548,2.014963913388439,-11.126010948988105
8,-350.90817188063835,1.8749153350324865,-10.275190601349426
9,-352.53742603553934,2.0086676590014108,-11.198414077023548
10,-350.96166434371565,1.8276730635117446,-10.035617098687524
11,-351.6771145797338,1.9831954078387204,-11.0107439237184
12,-351.52817374220473,1.9457853210264786,-10.801071312817156
13,-350.9419782253941,1.9292231986040245,-10.647051691006187
14,-353.03745249372946,2.2628957361142295,-12.477542919530256
15,-352.4280904492457,1.6608910630223133,-9.070688682094666
16,-351.22150107515955,2.0412983116457917,-11.172025390028718
17,-351.7832120224762,2.0586092347116103,-11.206980177441531
18,-351.73353357408547,2.0216691943528207,-10.99653892509934
19,-351.4800249407819,2.100336295929232,-11.511041815869007
20,-351.11074428390435,1.9893965244175906,-10.98521398739071
21,-351.334560626798,1.8119375718313209,-10.041591932019893
22,-352.11473603305757,2.1573009790363216,-11.912657245308823
23,-351.05855978861246,1.9009854544190703,-10.386640359793796
24,-355.4081723189981,2.4421143259854245,-13.459752868103038
25,-351.0351383658022,1.9217742881987911,-10.622512757089757
26,-353.0482775349494,2.1147875647290384,-11.45036276815688
27,-351.804510116018,1.7731570819283888,-9.859032216362007
28,-351.2577571528802,1.9729941634516408,-10.920066752472652
29,-351.8377711341959,1.9531935791909547,-10.8629400970463
30,-351.91320534808847,2.0512121406760793,-11.380441326455712
31,-352.07160296160583,2.0178978203499307,-11.21975327956064
32,-351.00643305309853,1.9934221136244903,-10.920104607646929
33,-355.1130453575179,1.8471785580463222,-10.423871990580972
34,-352.5728441425964,2.2040457758744663,-12.027082788169215
35,-350.89848512324113,1.8763404019339,-10.347081134185169
36,-352.0172228895947,1.81043885164432,-9.82934436594828
37,-350.93254091128154,1.8983342840751332,-10.392468664463276
38,-351.5816273457064,2.118089406097382,-11.615184327241263
39,-351.2733379110167,1.9157038968549538,-10.442256852572552
40,-352.03595511357395,1.8787639522971848,-10.187337855488432
41,-351.68749648114255,1.9702707381721527,-10.94335321614452
42,-351.3552605997726,2.042997905040703,-11.159953884737401
43,-351.23730369952096,2.0567884447118883,-11.271653394386872
44,-351.22197191055415,1.9016084723391717,-10.535355540249965
45,-353.43716327418963,2.242309175766773,-12.190677736891669
46,-350.96037461199046,1.883037573647152,-10.306230805754998
47,-351.060822083184,1.797764348054827,-9.900175830920983
48,-353.80708352614744,1.6339960794246087,-9.15991710822769
49,-351.0017397371937,1.9938202049895455,-10.923887414252913
50,-351.7565261601693,1.9068124519649317,-10.60724524939939
51,-352.5032302189799,2.1651166313732206,-11.786570368772477
52,-350.8718548225936,1.935984674042471,-10.665198870123403
53,-351.2954288082916,1.8149018454959138,-10.054449867062969
54,-351.8530183128759,2.0743795126318614,-11.294019451550597
55,-351.1164253250624,1.8151990305962766,-10.031006356532215
56,-352.1309756989143,2.048211415043259,-11.120240040086248
57,-351.41966270639784,2.0825667186392414,-11.400289283147723
58,-350.8400459295841,1.8782562783758472,-10.32196221764593
59,-351.03279798365406,1.9653228248370571,-10.850902253058761
60,-353.3564740875986,2.2645127607606166,-12.523639401214856
61,-353.36265610758386,1.7440976992237698,-9.781749386805703
62,-351.5880570236183,2.0913423181014514,-11.54416188697285
63,-352.11603439347783,2.126500026805186,-11.584167601865476
64,-351.06716537911643,1.9731129286145368,-10.896187754806245
65,-353.5176034655477,1.569071420148314,-8.73205827825229
66,-352.34569606358195,1.9225460030319872,-10.72764148112101
67,-351.74547379077393,2.1419885987301357,-11.771039236464356
68,-352.14166255553516,1.823719202783236,-10.171120545960568
69,-350.9552750550214,1.991586901564756,-10.957585288489147
70,-351.6699538261015,1.944764409118959,-10.80628986520776
71,-354.06450261036184,2.350138668395986,-12.85074355982719
72,-351.1131274919693,2.021873744422027,-11.072444146222677
73,-352.72511513124476,2.1610644398474004,-11.74409588138182
74,-352.3584025010771,2.0510860108743563,-11.122265924478395
75,-351.43440955902537,1.7313454318931865,-9.520641355161718
76,-350.9987910913336,1.97728136696046,-10.82393650344364
77,-353.96284190464087,2.274627644095193,-12.61909555782778
78,-350.9774144107264,1.9660196077879204,-10.762014397524657
79,-351.6264879483616,1.852874386379016,-10.300542859568376
80,-351.67486725084484,2.1297333387579567,-11.716209979214746
81,-351.62666584318794,1.8276856277848752,-10.15875406199463
82,-352.5266069091839,2.2221672121154077,-12.16164775241238
83,-351.25007716400705,1.995669506357113,-10.892894110028422
84,-352.13282397757024,1.9060661281656928,-10.626381073825957
85,-353.07375326786905,2.005873252553759,-10.830006319558828
86,-351.56360354620574,1.7181192231090279,-9.434211007333827
87,-351.3764704757537,1.7854782712766006,-9.757477259957785
88,-351.86357226758884,1.8115194928644112,-10.084372631685474
89,-353.238842215823,2.278375879188708,-12.566767701072495
90,-351.20364921429285,1.7832207566625906,-9.848364350980512
91,-351.6844792244662,2.036588977542468,-11.287500189987059
92,-351.60970611228305,2.0754471168484185,-11.32511005962757
93,-351.1644918643395,2.048581896126037,-11.243452923876442
94,-352.61716550392015,2.039740336739643,-11.365772638809654
95,-351.1282994674274,1.8369681509856375,-10.161710660919356
96,-351.1096921733364,2.02544669947033,-11.096611347808349
97,-352.8803592733131,1.7094673272002259,-9.268397274065807
98,-351.0912333244839,1.796006504520239,-9.85883040832585
99,-351.99497906845767,2.1653386897898033,-11.924167850930125
100,-350.84007882692094,1.8843248454626407,-10.348144348944526
101,-352.63787698448846,1.615555917607455,-8.865574738946608
102,-351.3379852221119,1.9697804596157347,-10.911530719921567
103,-350.8929499592397,1.9692532841034316,-10.809389238000477
104,-351.136929977004,1.9499424049223977,-10.645849219581741
105,-353.3072700974432,1.6276086948746673,-8.850568779519106
106,-355.05386587771767,2.3739226586012334,-12.90880514038711
107,-351.9242624815544,2.0620492372625554,-11.436235092594313
108,-351.2075429231403,2.046482241813112,-11.27270201547515
109,-352.24938203674105,1.646974155191184,-9.110346791767519
110,-354.0182771557329,1.8201246361618686,-10.236616585212271
111,-353.62606516255386,2.2822578659485426,-12.429726010969603
112,-351.35792624151316,1.8425614456346184,-10.045846680628035
113,-351.4374750808421,2.09858517907219,-11.524307600687832
114,-351.3499666516255,1.8703978248983966,-10.192136290918905
115,-351.50168332839206,2.108493739046668,-11.579529399003773
116,-350.86703197809516,1.9578139781348816,-10.750691093602798
117,-351.02465031560723,1.8762184490899443,-10.370890397764386
118,-350.939178430366,1.8851375305132956,-10.406268496594999
119,-355.4779430681781,2.4560689208986015,-13.49706439891207
120,-351.0478981002376,2.0133095119895184,-11.035480592262319
121,-351.08860995509946,1.9744546664469496,-10.9063133616757
122,-353.61198552549064,1.538830869038852,-8.500916667862885
123,-350.88419867931754,1.9444340894436185,-10.71211325444812
124,-351.9627201594422,2.0989569566993898,-11.431098750183104
125,-351.1653442912113,1.783226112206978,-9.838530485704053
126,-351.62120932603233,1.7632200078233666,-9.622824060471395
127,-350.98801772767865,1.9231014269970261,-10.622522455342548
128,-354.1556714652208,2.2115649370655084,-12.322597297709656
129,-350.9051907280171,1.8420311089114347,-10.128331387114978
130,-352.47156492361705,2.0749962024590545,-11.252919177335741
131,-353.96270503022646,1.5688637009732622,-8.76780609777862
132,-350.88368870152345,1.8734807440772017,-10.326092693033754
133,-350.9016104369378,1.861539781351555,-10.261115689670875
134,-352.1966474234789,1.838019698628383,-10.254486113674016
135,-351.65486048233953,1.7900508920262037,-9.945100771283013
136,-352.6742864431512,2.1773651123364512,-12.062430552526227
137,-350.8674132359968,1.8835232937068247,-10.331067524439986
138,-354.8414197500209,2.318529719927691,-12.882727072234514
139,-352.04708303918306,1.6871668157792519,-9.35808639874636
140,-353.3278306861684,2.2502946919087243,-12.457383055769627
141,-352.2016364264088,1.6450704593549548,-9.054379549461569
142,-352.28057705941814,2.183429310732821,-12.047760261450994
143,-352.6459619718575,1.6304465419035798,-8.918755170669844
144,-353.66315414001883,2.302508875585376,-12.717785179697934
145,-351.0006601927846,1.974898029942912,-10.809424555037914
146,-351.1835520579416,2.008519359356525,-11.091368786461956
147,-351.28495592699124,2.0728418018310175,-11.386669705161559
148,-351.22345960834684,1.8534294849078832,-10.267709552831542
149,-351.3724040628019,1.8881214322968667,-10.284343222316839
150,-350.88260838682135,1.93892633312664,-10.627999968340887
151,-351.291698519012,1.7808375132256489,-9.747429495530948
152,-351.3846823452839,1.9714894087185115,-10.924935785142113
153,-350.83304960815525,1.909354845505101,-10.481074808642541
154,-352.0689553494877,2.1766246734123738,-11.979749851528508
155,-350.94695619115436,1.99331126589476,-10.948704680006681
156,-351.2877816199374,1.7673609995730348,-9.68836994820795
157,-350.974686864756,1.9942288248859317,-10.935585475382105
158,-353.82101517872286,2.263620317361442,-12.295772797227128
159,-351.24599857394077,2.042373095807685,-11.173884534792776
160,-353.12840317373264,2.2458885975076313,-12.418905187601878
161,-351.1969896715876,1.7948171263550243,-9.828016077795567
162,-351.0756594398432,2.029514578501321,-11.145002043171907
163,-351.0227181338609,2.016100071399375,-11.072760257328204
164,-351.76871026603396,2.1449115688434706,-11.76787860482311
165,-351.68877890159564,2.073114215754229,-11.470104905785677
166,-351.7251769517054,2.1394495062576055,-11.739829035432333
167,-352.27154855146983,2.1499741218056982,-11.896755779980639
168,-351.6007878523264,1.9958226189228883,-10.859638460905918
169,-350.82884776722295,1.9027444152713178,-10.448572596280417
170,-350.8265225077926,1.9262258740987068,-10.58565314566197
171,-351.22874715028854,1.7682889495689433,-9.708184902503682
172,-351.19340825437325,1.7701298793891906,-9.750121944344444
173,-351.1131274919693,2.021873744422027,-11.072444146222677
174,-351.07147617829577,2.0091933945950746,-11.00221323537479
175,-351.6409366960591,2.045216874995167,-11.141110008488774
176,-351.00897294591937,1.9087132752729012,-10.435381822274158
177,-351.53081938992864,1.7704267407247447,-9.667073626035954
178,-353.22785306010195,1.568072159276317,-8.61936385731568
179,-350.85964833492113,1.8738820491266792,-10.318793922856436
180,-351.485421772356,1.947371676351981,-10.597417861177142
181,-351.1165179520281,1.7868530032132084,-9.845684415765511
182,-352.56825952986975,2.2341123915226944,-12.271776923174794
183,-351.8083499663803,1.6909953041694796,-9.344880771720797
184,-351.5396390988571,2.087161531014468,-11.407687445439684
185,-352.2113055569872,1.8452350762785248,-10.295578413188444
186,-351.2336257357517,2.0534343168686338,-11.30851572359457
187,-351.08630975630257,1.7908445836324531,-9.85697142758216
188,-351.8532116875409,2.101484499034707,-11.62448057094377
189,-351.28636392889183,1.7714599625977556,-9.706210425520352
190,-351.60991265291113,1.9577509519859853,-10.871166940715256
191,-351.24510449420825,1.7605038551462155,-9.696105981044814
192,-354.49374936545934,1.9757519281074019,-10.607646307573699
193,-353.3779878069944,1.869683495108088,-10.486135280762909
