intensity,area,date,rbs,mean_bg,exposure_ms,rescaled_intensity
77160.94778926403,6.4768,20170719,sd0,55292.07374608552,25,308643.7911570561
60980.20177503354,6.348800000000001,20170719,sd0,55292.07374608552,25,243920.80710013417
45797.29787913347,4.6592,20170719,sd0,55292.07374608552,25,183189.19151653387
93794.56200525715,3.8656,20170719,sd0,55292.07374608552,25,375178.2480210286
49146.437525143374,6.3232,20170719,sd0,55292.07374608552,25,196585.7501005735
72554.38680590951,4.5312,20170719,sd0,55292.07374608552,25,290217.54722363804
74261.9503879353,5.0688,20170719,sd0,56676.78771101127,25,297047.8015517412
61712.85876947278,4.1728000000000005,20170719,sd0,56676.78771101127,25,246851.43507789113
62669.6461890751,6.9888,20170719,sd0,56676.78771101127,25,250678.5847563004
81896.54354774443,4.096,20170719,sd0,55628.92351136586,25,327586.1741909777
41007.34294466815,3.6352,20170719,sd0,55628.92351136586,25,164029.3717786726
43890.57471699714,11.3664,20170719,sd0,55628.92351136586,25,175562.29886798855
65798.5731986736,3.5584000000000002,20170719,sd0,58013.87065051216,25,263194.2927946944
80928.72768048247,4.7104,20170719,sd0,58013.87065051216,25,323714.91072192986
76549.45648879776,4.0192000000000005,20170719,sd0,57277.667097838654,25,306197.82595519105
86735.59619426311,4.2496,20170719,sd0,56261.27857000146,25,346942.38477705244
63483.9911215088,4.6592,20170719,sd0,56261.27857000146,25,253935.9644860352
66521.98025384263,6.2464,20170719,sd0,56261.27857000146,25,266087.9210153705
71663.89166322642,9.6,20170719,sd0,57544.777863091556,25,286655.56665290566
64595.763822231514,4.5824,20170719,sd0,57544.777863091556,25,258383.05528892606
66146.91622392977,11.264000000000001,20170719,sd0,57544.777863091556,25,264587.6648957191
55097.63597264257,11.0592,20170719,sd0,57544.777863091556,25,220390.5438905703
67340.75299814288,6.3232,20170719,sd0,58038.93713742,25,269363.0119925715
71512.76869188319,8.652800000000001,20170719,sd0,58038.93713742,25,286051.07476753276
107650.95720718143,12.032,20170719,sd0,58038.93713742,25,430603.82882872573
77341.78416646353,3.8400000000000003,20170719,sd0,58038.93713742,25,309367.13666585414
63274.51840732971,4.3264000000000005,20170719,sd0,58038.93713742,25,253098.07362931885
