date,position,I1,I2,summed_int,sq_diff,cal_factor,cal_sd
20171130.0,0.0,124064.1437080947,53407.58710065242,177471.73080874712,4992348991.620698,29922.7496428217,1691.747749442938
20171130.0,0.0,77514.60176685199,252729.19937142075,330243.80113827274,30700155213.730953,29922.7496428217,1691.747749442938
20171130.0,0.0,124273.57144521872,154244.77521995545,278518.3466651742,898273055.7067931,29922.7496428217,1691.747749442938
20171130.0,0.0,173517.33044250344,251783.23277175092,425300.56321425433,6125551467.411305,29922.7496428217,1691.747749442938
20171130.0,0.0,140662.93679637797,332793.36294812534,473456.29974450334,36914100653.25205,29922.7496428217,1691.747749442938
20171130.0,0.0,139444.53323727197,201159.18006071844,340603.7132979904,3808697632.5427313,29922.7496428217,1691.747749442938
20171130.0,0.0,188320.85464334817,105327.99790310081,293648.852546449,6887814269.907221,29922.7496428217,1691.747749442938
20171130.0,0.0,94097.7051705596,363418.92325832084,457516.6284288804,72533918512.27547,29922.7496428217,1691.747749442938
20171130.0,0.0,94391.74022030288,159479.28645382312,253871.02667412598,4236388674.7006354,29922.7496428217,1691.747749442938
20171130.0,0.0,144241.7553016817,54564.09830086465,198805.85360254635,8042082165.156189,29922.7496428217,1691.747749442938
20171130.0,0.0,89052.77100944806,166436.09138175243,255488.8623912005,5988178271.842696,29922.7496428217,1691.747749442938
20171130.0,0.0,46245.37941689162,101754.6685788448,148000.04799573642,3081281183.2653317,29922.7496428217,1691.747749442938
20171130.0,0.0,56374.040130962356,36966.767697546,93340.80782850835,376642223.3048425,29922.7496428217,1691.747749442938
20171130.0,0.0,159063.63951602697,99122.61403568747,258186.25355171444,3592926535.63471,29922.7496428217,1691.747749442938
20171130.0,0.0,165636.72771301193,98206.31948288197,263843.0471958939,4546859954.081979,29922.7496428217,1691.747749442938
20171130.0,0.0,124335.45725923488,278724.0381539288,403059.4954131637,23835833910.677452,29922.7496428217,1691.747749442938
20171130.0,0.0,137483.65871394402,167252.95446849178,304736.6131824358,886210969.721735,29922.7496428217,1691.747749442938
20171130.0,0.0,50132.13913160216,6297.043407490795,56429.18253909296,1921515617.1420064,29922.7496428217,1691.747749442938
20171130.0,0.0,114920.3110305149,326508.6259060412,441428.93693655607,44769614991.86486,29922.7496428217,1691.747749442938
20171130.0,0.0,157075.21254024218,135304.76952127396,292379.98206151614,473952189.24214196,29922.7496428217,1691.747749442938
20171130.0,0.0,104555.47103582368,216978.80981383342,321534.2808496571,12639007101.995148,29922.7496428217,1691.747749442938
20171130.0,0.0,162300.72316665636,68734.62435938825,231035.3475260446,8754614846.011457,29922.7496428217,1691.747749442938
20171130.0,0.0,5279.120843644588,1859.2016813553773,7138.322524999965,11695847.076592935,29922.7496428217,1691.747749442938
20171130.0,0.0,171944.739802262,118167.15301546037,290111.89281772234,2892028840.6119804,29922.7496428217,1691.747749442938
20171130.0,0.0,98732.07999370071,115652.69758570891,214384.77757940962,286307299.69497746,29922.7496428217,1691.747749442938
20171130.0,0.0,136300.1566587265,213191.00864834193,349491.16530706844,5912203119.688945,29922.7496428217,1691.747749442938
20171130.0,0.0,93367.00414559747,16043.544580520358,109410.54872611784,5978917399.112115,29922.7496428217,1691.747749442938
20171130.0,1.0,211654.01572636305,57287.2978970901,268941.31362345314,23829083573.38238,29922.7496428217,1691.747749442938
20171130.0,1.0,198526.20778987758,207386.12035724506,405912.32814712264,78498050.70139632,29922.7496428217,1691.747749442938
20171130.0,1.0,108552.08948094881,67565.67367443658,176117.7631553854,1679886280.6643157,29922.7496428217,1691.747749442938
20171130.0,1.0,243566.62743047468,365546.71679818,609113.3442286546,14879142202.153381,29922.7496428217,1691.747749442938
20171130.0,1.0,401127.32572712336,110062.43347055583,511189.7591976792,84718771504.32727,29922.7496428217,1691.747749442938
20171130.0,1.0,88199.87206982037,289833.23708020325,378033.1091500236,40656013885.4103,29922.7496428217,1691.747749442938
20171130.0,1.0,412763.85645211337,69564.2715725176,482328.12802463095,117785955061.52687,29922.7496428217,1691.747749442938
20171130.0,1.0,208039.27736166184,146948.78920570135,354988.0665673632,3732047743.1335483,29922.7496428217,1691.747749442938
20171130.0,1.0,108032.70691397336,194526.6182890556,302559.325203029,7481196704.960579,29922.7496428217,1691.747749442938
20171130.0,1.0,107731.1668956044,201822.75951962476,309553.92641522916,8853227802.524601,29922.7496428217,1691.747749442938
20171130.0,1.0,168332.72316189203,113602.10697591967,281934.8301378117,2995440348.09622,29922.7496428217,1691.747749442938
20171130.0,1.0,192631.44495338,281615.2276050466,474246.6725584266,7918113574.999039,29922.7496428217,1691.747749442938
20171130.0,1.0,138054.85531829033,170717.99750584248,308772.8528241328,1066880857.5642489,29922.7496428217,1691.747749442938
20171130.0,1.0,338815.1166596411,121860.50691690063,460675.6235765417,47069302688.62482,29922.7496428217,1691.747749442938
20171130.0,1.0,194507.40107015718,213358.93928334847,407866.3403535057,355380493.00341153,29922.7496428217,1691.747749442938
20171130.0,1.0,157027.6260352503,105929.71691062927,262957.34294587956,2610996316.9080276,29922.7496428217,1691.747749442938
20171130.0,1.0,161676.58386854408,182682.60229588574,344359.1861644298,441252810.1698171,29922.7496428217,1691.747749442938
20171130.0,1.0,127965.6023892725,133680.54716919363,261646.14955846613,32660593.837547652,29922.7496428217,1691.747749442938
20171130.0,1.0,243926.20590403376,259247.9169085454,503174.12281257915,234754828.1057727,29922.7496428217,1691.747749442938
20171130.0,1.0,215245.95926753737,264109.33726406837,479355.29653160577,2387629709.231869,29922.7496428217,1691.747749442938
