parameter,mode,hpd_min,hpd_max
tau_1,23.60647688995615,23.24527470237312,24.156971668046005
tau_2,2.652852389984448,2.0397493831590197,3.5533601479701318
beta_1,0.7558102850695423,0.7426694416613686,0.7632492356272756
beta_2,0.10531584722662123,0.09672185025394885,0.11769567359400021
bg,0.07727338369451756,0.07510201227507202,0.07926153465865449
sigma,0.011044779669265724,0.010612855934385504,0.011586826177905627
