parameter,mode,hpd_min,hpd_max
tau_1,12.411641336934558,12.258468660546116,12.520534316266858
tau_2,88.81001603412147,85.68981789684375,90.30658628630827
beta_1,0.5538567198163712,0.549087902716712,0.5574003671167344
beta_2,0.3751960913643862,0.37109113793116405,0.3786886711243143
bg,0.0024083207963028243,0.00019236361607559606,0.007331722158881682
sigma,0.00401024572262899,0.003828663340302616,0.0041846627817357296
